id,inhabitant per km^2
5521,303.71
5636,594.74
2768,780.25
1128,211.75
2518,232.84
372,700.55
6213,25.85
6083,8.04
5716,643.59
925,118.74
4196,506.06
6789,45.63
5072,23.05
3572,27.47
5458,247.55
975,56.16
2192,222.93
172,663.89
2616,406.67
4561,366.62
2544,391.16
3731,184.91
6195,8.75
662,133.59
5789,155.09
2194,276.7
3713,1.11
5483,98.43
27,1426.4
1321,294.39
5522,85.81
3861,23.7
6057,82.25
6058,1.84
5556,61.49
3522,9.98
6214,19.53
493,149.3
1129,90.19
4067,524.52
114,80.21
4726,86.09
4306,76.26
4027,1083.04
28,133.24
3402,902.26
3662,37.79
3732,53.46
2545,310.36
3292,64.8
29,599.17
3951,35.74
1207,158.78
1004,17.41
5557,24.12
6790,83.51
5604,113.09
5672,53.33
948,171.68
5717,761.22
5105,3.88
538,152.61
4566,908.7
663,129.82
1322,1164.49
57,276.71
4028,243.78
607,160.07
2824,1410.65
6409,139.62
2196,4129.08
4163,529.36
5523,343.56
563,95.53
2258,146.5
2575,385.27
4307,178.6
6133,225.26
3862,6.29
193,1303.28
5427,315.5
2016,236.36
2825,946.65
3633,265.38
4571,406.12
3022,145.02
3442,660.65
1342,387.63
2259,71.27
494,98.61
5398,99.27
6118,82.6
495,80.0
3272,147.74
4164,114.16
4029,872.46
865,77.52
2846,610.39
4232,60.73
2474,148.91
2260,184.94
5718,396.1
6622,976.87
6621,12468.58
2519,2611.52
244,2562.11
1311,155.99
866,148.21
1130,189.37
1085,442.15
2826,773.13
5559,81.51
2294,294.06
5857,146.7
5428,100.95
5719,97.22
5073,45.07
4165,347.35
1055,1080.91
1403,41.73
5005,1384.59
2197,905.8
5720,248.86
5721,1520.55
1632,121.3
1630,121.07
1631,22.46
58,402.52
2022,342.66
5006,98.66
664,112.95
3213,1921.52
5484,158.61
3341,147.93
326,78.74
3102,58.33
4135,212.69
5108,643.22
5007,85.47
6410,143.28
3443,655.68
115,533.7
4651,902.78
5541,98.5
976,106.31
3273,126.72
6073,8.63
5186,823.81
5485,69.96
5817,83.19
5560,67.25
6792,43.85
5561,418.48
694,47.37
2134,32.85
2328,187.0
2198,843.72
2079,56.85
5187,1976.56
194,2306.44
2786,552.55
2546,642.53
2261,175.25
6177,7.37
5722,150.58
1056,313.94
5109,3.42
2576,454.91
6263,723.15
2617,162.0
576,21.85
2200,356.95
3832,68.78
303,198.61
1131,81.23
608,1022.09
1086,158.41
3031,238.3
2135,75.84
5405,83.14
6285,94.54
4006,430.28
6238,109.53
116,383.07
3961,45.84
841,15.64
577,56.76
5008,83.92
852,28.25
2578,423.27
665,134.43
2262,240.67
1209,6.92
867,189.58
782,1.45
6117,39.52
6624,158.26
2901,113.5
2423,8.36
1208,4.21
578,20.2
2547,218.18
4656,165.68
579,12.61
4099,182.51
220,135.29
736,226.52
3941,55.15
2971,135.01
4197,354.26
2520,471.89
1005,43.36
406,153.32
783,28.26
2491,59.13
4486,153.32
4100,1071.07
4,254.17
2121,25.19
2281,181.64
6809,25.95
6729,96.89
2233,202.52
6454,1215.74
2137,60.95
5,560.34
4416,200.0
3032,551.99
927,127.29
928,1243.84
977,189.54
407,68.76
2296,151.71
4251,113.9
408,133.11
3372,45.87
2962,57.93
2848,79.01
4198,331.34
31,734.97
5819,130.38
2424,32.6
610,218.61
4811,74.62
1507,396.91
1132,60.26
3001,624.72
6625,693.84
5673,79.87
978,91.43
737,87.83
152,702.57
2827,194.08
4166,228.32
979,712.02
221,537.82
1088,305.72
929,1453.41
2618,155.0
409,359.23
3691,1.36
117,486.19
4007,444.76
132,221.44
173,277.79
1030,209.35
1031,1013.97
59,324.23
2475,156.16
222,54.35
580,62.3
2476,420.48
1032,108.55
4495,77.1
4199,494.83
2425,81.39
4136,458.89
931,77.16
153,697.62
4816,62.71
1057,304.0
133,956.27
4421,1495.98
4167,127.73
932,11.86
2523,332.31
1058,1075.27
1210,5.78
2548,533.09
32,136.96
3002,39.97
4200,1186.5
954,274.25
2847,69.04
2579,350.83
3201,138.14
4068,312.13
2402,275.22
609,81.91
6084,12.66
410,103.85
2886,405.03
60,554.51
1703,480.61
2524,93.07
61,205.68
134,124.03
87,550.62
4590,71.61
4821,94.4
6239,22.46
541,84.1
3619,35.17
1363,72.39
174,645.34
6109,12.13
1364,645.36
980,184.62
1343,3.85
784,4.42
496,144.1
581,1305.05
1033,234.95
739,2090.0
5284,30.92
582,19.54
1211,8.39
4084,381.21
5009,29.87
5137,17.7
6134,55.89
2849,655.1
362,2704.99
868,196.88
2138,11.98
540,415.79
3863,44.82
3952,86.86
738,146.52
2264,234.46
4071,354.04
5885,691.67
3405,340.9
5804,86.18
5585,736.46
5754,32.26
6626,111.98
4252,1131.1
4308,1277.42
4169,143.39
4233,122.68
304,125.44
3313,257.0
2549,35.11
564,24.45
565,9.77
2580,605.29
6,131.93
305,124.08
869,505.24
870,953.95
4666,95.53
411,158.73
1404,65.3
2265,396.73
4426,226.7
2403,205.81
2492,60.94
611,196.18
2851,96.25
135,3112.69
4030,816.67
6197,30.25
412,642.76
3392,208.55
872,156.72
873,221.43
4275,193.35
354,243.2
33,202.24
2266,200.0
2619,77.08
4309,492.86
3871,19.71
62,956.01
7,322.12
1089,218.92
4310,400.99
612,408.61
413,307.23
4501,324.86
566,182.59
414,120.61
4671,1875.96
666,88.66
