commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Chêne-Bougeries,11217,0.19,0.25,0.32,0.24,0.47,0.65
Chêne-Bourg,8470,0.19,0.29,0.36,0.15,0.47,0.64
Chêne-Pâquier,124,0.21,0.23,0.36,0.2,0.49,0.97
Clarmont,159,0.17,0.31,0.4,0.13,0.47,0.83
Claro,2824,0.21,0.26,0.38,0.15,0.49,0.82
Clavaleyres,49,0.16,0.24,0.35,0.24,0.53,0.96
Clos du Doubs,1306,0.17,0.24,0.35,0.24,0.5,0.92
Coeuve,715,0.22,0.26,0.34,0.19,0.49,0.96
Coinsins,435,0.19,0.23,0.41,0.17,0.48,0.8
Coldrerio,2859,0.14,0.23,0.39,0.23,0.49,0.8
Collex-Bossy,1665,0.24,0.23,0.39,0.14,0.49,0.67
Collina d'Oro,4671,0.18,0.21,0.4,0.21,0.5,0.68
Collombey-Muraz,8638,0.23,0.3,0.35,0.12,0.5,0.75
Collonge-Bellerive,7996,0.22,0.24,0.36,0.19,0.47,0.71
Collonges,721,0.19,0.27,0.35,0.19,0.5,0.82
Cologny,5496,0.2,0.27,0.32,0.21,0.47,0.63
Comano,2068,0.21,0.22,0.37,0.21,0.47,0.88
Commugny,2862,0.25,0.2,0.39,0.16,0.49,0.6
Concise,956,0.19,0.27,0.36,0.18,0.5,0.84
Confignon,4519,0.23,0.24,0.36,0.18,0.49,0.82
Conters im Prättigau,214,0.21,0.23,0.36,0.21,0.51,0.95
Conthey,8485,0.2,0.28,0.34,0.18,0.49,0.77
Coppet,3137,0.22,0.22,0.38,0.17,0.5,0.59
Corban,465,0.23,0.22,0.35,0.2,0.52,0.98
Corbeyrier,433,0.18,0.21,0.33,0.28,0.51,0.9
Corbières,839,0.22,0.28,0.34,0.16,0.5,0.87
Corcelles (BE),210,0.15,0.29,0.35,0.21,0.49,0.95
Corcelles-Cormondrèche,4719,0.2,0.25,0.35,0.19,0.49,0.81
Corcelles-le-Jorat,423,0.18,0.27,0.34,0.21,0.49,0.85
Corcelles-près-Concise,337,0.2,0.28,0.35,0.17,0.47,0.92
Corcelles-près-Payerne,2233,0.22,0.3,0.33,0.15,0.49,0.75
Corcelles-sur-Chavornay,353,0.23,0.28,0.34,0.16,0.5,0.9
Corgémont,1677,0.22,0.24,0.35,0.19,0.5,0.86
Corippo,13,0.0,0.08,0.31,0.62,0.54,0.92
Corminboeuf,2331,0.21,0.27,0.39,0.14,0.51,0.9
Cormoret,482,0.19,0.22,0.38,0.21,0.49,0.94
Cornaux,1592,0.2,0.28,0.37,0.15,0.5,0.77
Cornol,1027,0.21,0.29,0.32,0.18,0.51,0.93
Corseaux,2172,0.16,0.22,0.36,0.26,0.47,0.75
Corserey,418,0.25,0.29,0.33,0.13,0.49,0.88
Corsier (GE),2017,0.2,0.26,0.36,0.17,0.49,0.7
Corsier-sur-Vevey,3443,0.18,0.28,0.35,0.2,0.48,0.66
Cortaillod,4802,0.19,0.27,0.35,0.19,0.49,0.8
Cortébert,710,0.19,0.25,0.38,0.17,0.51,0.86
Cossonay,3647,0.23,0.3,0.36,0.12,0.49,0.76
Cottens (FR),1490,0.27,0.26,0.34,0.13,0.5,0.82
Cottens (VD),473,0.23,0.32,0.31,0.15,0.49,0.89
Courchapoix,427,0.23,0.25,0.35,0.17,0.52,0.93
Courchavon,300,0.18,0.26,0.35,0.2,0.49,0.94
Courgenay,2262,0.21,0.25,0.34,0.2,0.49,0.9
Courgevaux,1428,0.21,0.29,0.37,0.13,0.51,0.72
Courrendlin,2781,0.22,0.29,0.33,0.17,0.49,0.79
Courroux,3229,0.21,0.27,0.34,0.18,0.49,0.87
Court,1418,0.2,0.27,0.32,0.21,0.5,0.9
Courtedoux,771,0.18,0.24,0.35,0.22,0.46,0.93
Courtelary,1360,0.21,0.24,0.34,0.2,0.5,0.86
Courtepin,3681,0.24,0.3,0.35,0.11,0.51,0.54
Courtételle,2568,0.21,0.3,0.34,0.15,0.5,0.84
Crans-près-Céligny,2172,0.23,0.2,0.39,0.18,0.5,0.68
Crassier,1187,0.26,0.24,0.38,0.12,0.5,0.7
Cremin,58,0.17,0.26,0.38,0.19,0.48,0.76
Cresciano,699,0.15,0.3,0.37,0.18,0.53,0.63
Cressier (FR),932,0.21,0.27,0.38,0.13,0.51,0.76
Cressier (NE),1903,0.2,0.27,0.39,0.15,0.5,0.73
Crissier,7730,0.2,0.32,0.34,0.13,0.51,0.55
Croglio,876,0.17,0.19,0.39,0.25,0.49,0.81
Cronay,364,0.18,0.28,0.37,0.18,0.51,0.93
Croy,335,0.17,0.22,0.33,0.28,0.46,0.91
Crémines,529,0.19,0.24,0.33,0.24,0.51,0.92
Crésuz,331,0.11,0.29,0.32,0.27,0.53,0.82
Cuarnens,438,0.18,0.31,0.36,0.15,0.52,0.88
Cuarny,215,0.17,0.3,0.37,0.15,0.52,0.93
Cudrefin,1516,0.22,0.25,0.39,0.14,0.52,0.86
Cugnasco-Gerra,2909,0.2,0.21,0.4,0.18,0.49,0.85
Cugy (FR),1633,0.22,0.3,0.32,0.16,0.49,0.84
Cugy (VD),2750,0.23,0.27,0.35,0.15,0.49,0.76
Cureglia,1354,0.19,0.25,0.35,0.21,0.51,0.84
Curio,551,0.15,0.25,0.42,0.18,0.48,0.86
Curtilles,311,0.2,0.25,0.4,0.15,0.49,0.88
Céligny,678,0.23,0.21,0.37,0.19,0.48,0.71
Dachsen,1988,0.21,0.23,0.39,0.17,0.51,0.85
Dagmersellen,5234,0.2,0.32,0.35,0.14,0.51,0.85
Daillens,940,0.24,0.24,0.41,0.1,0.49,0.8
Dallenwil,1797,0.2,0.28,0.37,0.15,0.52,0.92
Dalpe,198,0.1,0.27,0.36,0.27,0.49,0.89
Damphreux,181,0.21,0.23,0.34,0.22,0.5,0.94
Dardagny,1532,0.21,0.29,0.38,0.12,0.49,0.71
Davos,11106,0.15,0.3,0.36,0.19,0.5,0.73
Degersheim,3999,0.22,0.26,0.34,0.17,0.5,0.82
Deisswil bei Münchenbuchsee,85,0.12,0.29,0.4,0.19,0.48,1.0
Deitingen,2214,0.18,0.24,0.38,0.2,0.5,0.91
Delley-Portalban,1066,0.16,0.26,0.38,0.2,0.51,0.88
Delémont,12591,0.18,0.28,0.34,0.2,0.49,0.72
Denens,709,0.19,0.25,0.4,0.15,0.49,0.82
Denges,1653,0.2,0.3,0.38,0.11,0.5,0.71
Densbüren,702,0.14,0.27,0.38,0.21,0.5,0.89
Derendingen,6319,0.17,0.28,0.37,0.18,0.5,0.71
Develier,1401,0.2,0.27,0.35,0.19,0.5,0.87
Diegten,1618,0.21,0.25,0.38,0.16,0.49,0.9
Dielsdorf,5919,0.18,0.31,0.35,0.16,0.5,0.71
Diemerswil,204,0.24,0.25,0.36,0.15,0.5,0.96
Diemtigen,2162,0.2,0.24,0.36,0.2,0.5,0.96
Diepflingen,719,0.21,0.26,0.38,0.15,0.48,0.89
Diepoldsau,6347,0.2,0.31,0.35,0.14,0.51,0.77
Dierikon,1438,0.19,0.3,0.4,0.1,0.5,0.83
Diessbach bei Büren,995,0.23,0.28,0.33,0.16,0.51,0.9
Diessenhofen,3675,0.17,0.29,0.35,0.2,0.51,0.65
Dietikon,26710,0.19,0.36,0.31,0.15,0.51,0.56
Dietlikon,7624,0.18,0.28,0.34,0.19,0.49,0.76
Dietwil,1287,0.2,0.3,0.39,0.11,0.52,0.87
Dinhard,1494,0.21,0.23,0.37,0.2,0.5,0.9
Dintikon,2168,0.2,0.29,0.38,0.13,0.52,0.75
Disentis/Mustér,2068,0.16,0.26,0.33,0.25,0.52,0.87
Dittingen,728,0.17,0.22,0.39,0.22,0.49,0.86
Dizy,222,0.25,0.28,0.38,0.09,0.51,0.88
Domat/Ems,7879,0.2,0.29,0.34,0.17,0.5,0.78
Domleschg,1943,0.19,0.25,0.4,0.17,0.49,0.96
Dompierre (VD),247,0.14,0.24,0.43,0.18,0.49,0.84
Donat,208,0.19,0.27,0.34,0.2,0.48,0.99
Donneloye,766,0.21,0.29,0.36,0.15,0.5,0.9
Doppleschwand,750,0.26,0.28,0.32,0.14,0.52,0.95
Dorf,624,0.19,0.24,0.41,0.16,0.5,0.93
Dornach,6535,0.17,0.24,0.37,0.22,0.48,0.75
Dorénaz,870,0.2,0.29,0.36,0.15,0.51,0.85
Dottikon,3857,0.19,0.32,0.35,0.14,0.51,0.65
Dotzigen,1455,0.19,0.24,0.39,0.17,0.5,0.92
Dozwil,683,0.24,0.27,0.32,0.17,0.5,0.86
Drei Höfe,742,0.17,0.24,0.44,0.15,0.5,0.95
Duggingen,1510,0.19,0.22,0.44,0.15,0.51,0.81
Duillier,1034,0.23,0.24,0.39,0.15,0.49,0.76
Dulliken,4896,0.16,0.3,0.34,0.19,0.5,0.57
Dully,641,0.24,0.24,0.39,0.13,0.48,0.66
Dägerlen,1014,0.21,0.24,0.42,0.13,0.52,0.92
Dällikon,3952,0.18,0.3,0.36,0.15,0.52,0.71
Däniken,2769,0.16,0.26,0.39,0.18,0.52,0.81
Dänikon,1890,0.19,0.3,0.39,0.12,0.51,0.73
Därligen,407,0.17,0.23,0.39,0.21,0.48,0.89
Därstetten,844,0.17,0.25,0.38,0.19,0.49,0.95
Dättlikon,745,0.22,0.21,0.41,0.16,0.51,0.9
Démoret,123,0.11,0.37,0.37,0.15,0.52,0.93
Dörflingen,972,0.15,0.25,0.42,0.18,0.5,0.81
Döttingen,3797,0.18,0.28,0.36,0.19,0.51,0.6
Dübendorf,26843,0.18,0.31,0.35,0.16,0.49,0.67
Düdingen,7794,0.17,0.28,0.36,0.19,0.5,0.88
Dürnten,7419,0.2,0.27,0.37,0.16,0.51,0.81
Dürrenroth,1066,0.21,0.23,0.36,0.19,0.5,0.97
Dürrenäsch,1222,0.19,0.26,0.39,0.16,0.51,0.89
Ebersecken,401,0.22,0.28,0.35,0.14,0.53,0.95
Ebikon,13104,0.18,0.31,0.35,0.17,0.5,0.79
Ebnat-Kappel,5056,0.19,0.25,0.34,0.23,0.5,0.86
Echallens,5626,0.22,0.28,0.36,0.14,0.49,0.79
Echandens,2662,0.16,0.34,0.31,0.19,0.5,0.7
Echarlens,814,0.24,0.29,0.35,0.12,0.5,0.86
Echichens,2591,0.21,0.24,0.36,0.19,0.49,0.84
Eclépens,1037,0.19,0.31,0.34,0.15,0.53,0.73
Ecublens (FR),332,0.2,0.3,0.4,0.1,0.48,0.92
Ecublens (VD),12281,0.18,0.36,0.31,0.15,0.51,0.54
Ederswiler,113,0.13,0.19,0.35,0.34,0.5,0.98
Effingen,613,0.16,0.25,0.42,0.17,0.49,0.86
Egerkingen,3447,0.18,0.3,0.36,0.16,0.5,0.72
Egg,8387,0.18,0.24,0.38,0.2,0.48,0.81
Eggenwil,946,0.17,0.24,0.43,0.16,0.53,0.81
Eggerberg,344,0.12,0.24,0.45,0.18,0.49,0.95
Eggersriet,2262,0.21,0.23,0.36,0.2,0.49,0.91
Eggiwil,2441,0.21,0.25,0.35,0.19,0.5,0.98
Eglisau,5025,0.2,0.27,0.37,0.16,0.51,0.77
Egliswil,1335,0.19,0.23,0.45,0.13,0.5,0.91
Egnach,4572,0.2,0.27,0.37,0.16,0.51,0.87
Egolzwil,1420,0.17,0.31,0.39,0.13,0.51,0.9
Ehrendingen,4743,0.2,0.26,0.37,0.17,0.49,0.82
Eich,1684,0.18,0.24,0.42,0.16,0.5,0.93
Eichberg,1538,0.21,0.29,0.37,0.12,0.5,0.84
Eiken,2196,0.18,0.28,0.38,0.16,0.52,0.8
Einsiedeln,15076,0.19,0.27,0.37,0.18,0.5,0.85
Eischoll,453,0.12,0.22,0.37,0.29,0.5,0.96
Eisten,201,0.11,0.24,0.39,0.25,0.47,0.99
Elfingen,279,0.15,0.23,0.48,0.14,0.46,0.89
Elgg,4216,0.19,0.26,0.36,0.18,0.51,0.82
Ellikon an der Thur,885,0.21,0.24,0.39,0.15,0.5,0.87
Elsau,3480,0.19,0.26,0.38,0.17,0.5,0.84
Embd,302,0.14,0.19,0.45,0.23,0.51,0.97
Embrach,9136,0.2,0.29,0.36,0.15,0.51,0.74
Emmen,29719,0.18,0.32,0.33,0.17,0.5,0.66
Emmetten,1380,0.13,0.25,0.42,0.19,0.54,0.81
Endingen,2528,0.21,0.25,0.37,0.17,0.5,0.82
Engelberg,4097,0.15,0.26,0.37,0.21,0.51,0.74
Enges,279,0.2,0.22,0.34,0.24,0.52,0.9
Ennetbaden,3324,0.17,0.3,0.35,0.18,0.49,0.78
Ennetbürgen,4598,0.15,0.25,0.37,0.22,0.51,0.86
Ennetmoos,2100,0.19,0.28,0.38,0.15,0.52,0.9
Entlebuch,3349,0.2,0.29,0.33,0.17,0.52,0.93
Epalinges,9201,0.2,0.29,0.33,0.17,0.48,0.7
Ependes (FR),1112,0.2,0.29,0.36,0.15,0.49,0.87
Ependes (VD),346,0.2,0.32,0.32,0.16,0.49,0.84
Eppenberg-Wöschnau,317,0.14,0.35,0.34,0.18,0.51,0.68
Epsach,328,0.17,0.23,0.42,0.19,0.51,0.95
Eptingen,532,0.19,0.25,0.38,0.18,0.51,0.9
Ergisch,189,0.09,0.23,0.41,0.28,0.53,0.96
Eriswil,1362,0.2,0.22,0.35,0.22,0.5,0.95
Eriz,486,0.17,0.23,0.35,0.24,0.52,0.97
Erlach,1410,0.15,0.28,0.38,0.19,0.49,0.84
Erlen,3624,0.21,0.32,0.34,0.13,0.51,0.73
Erlenbach (ZH),5470,0.2,0.22,0.4,0.19,0.49,0.79
Erlenbach im Simmental,1704,0.16,0.26,0.36,0.22,0.48,0.94
Erlinsbach (AG),3973,0.18,0.24,0.36,0.22,0.49,0.84
Erlinsbach (SO),3397,0.19,0.28,0.36,0.17,0.49,0.84
Ermatingen,3202,0.16,0.24,0.4,0.2,0.5,0.71
Ermensee,892,0.23,0.26,0.37,0.14,0.52,0.88
Ernen,510,0.1,0.23,0.44,0.23,0.5,0.9
Erschwil,903,0.18,0.22,0.39,0.2,0.5,0.91
Ersigen,2026,0.19,0.23,0.38,0.19,0.49,0.96
Erstfeld,3773,0.17,0.24,0.35,0.23,0.52,0.81
Eschenbach (LU),3658,0.2,0.26,0.37,0.16,0.5,0.89
Eschenbach (SG),9122,0.2,0.28,0.35,0.16,0.51,0.85
Eschenz,1725,0.18,0.25,0.38,0.19,0.5,0.83
Eschert,375,0.18,0.26,0.35,0.21,0.53,0.85
Eschlikon,4275,0.19,0.3,0.36,0.15,0.51,0.86
Escholzmatt-Marbach,4325,0.19,0.27,0.34,0.19,0.51,0.94
Essert-Pittet,164,0.22,0.26,0.35,0.17,0.55,0.8
Essertes,330,0.22,0.24,0.39,0.15,0.49,0.82
Essertines-sur-Rolle,696,0.26,0.26,0.36,0.11,0.5,0.74
Essertines-sur-Yverdon,946,0.24,0.31,0.32,0.14,0.5,0.88
Estavayer-le-Lac,6206,0.2,0.3,0.34,0.16,0.49,0.72
Etagnières,1145,0.22,0.29,0.36,0.13,0.51,0.77
Etoy,2938,0.22,0.28,0.37,0.13,0.5,0.67
Ettingen,4978,0.17,0.24,0.38,0.22,0.49,0.84
Ettiswil,2649,0.21,0.3,0.36,0.13,0.5,0.91
Etziken,787,0.18,0.26,0.37,0.19,0.49,0.93
Evilard,2550,0.21,0.17,0.38,0.24,0.49,0.88
Evionnaz,1241,0.2,0.29,0.36,0.16,0.53,0.82
Evolène,1689,0.14,0.24,0.37,0.25,0.51,0.9
Eysins,1506,0.25,0.27,0.36,0.12,0.5,0.68
Fahrni,792,0.2,0.27,0.33,0.19,0.51,0.97
Fahrwangen,2004,0.2,0.27,0.38,0.15,0.5,0.78
Fahy,355,0.17,0.2,0.38,0.26,0.49,0.92
Faido,2985,0.14,0.23,0.39,0.25,0.5,0.79
Falera,614,0.15,0.25,0.34,0.26,0.53,0.85
Faoug,859,0.2,0.25,0.42,0.13,0.49,0.81
Farnern,205,0.16,0.18,0.4,0.26,0.5,0.95
Fehraltorf,6307,0.19,0.28,0.38,0.15,0.49,0.82
Fehren,610,0.21,0.21,0.39,0.19,0.49,0.96
Felben-Wellhausen,2691,0.19,0.29,0.38,0.14,0.52,0.8
Feldbrunnen-St. Niklaus,974,0.14,0.23,0.38,0.25,0.5,0.91
Felsberg,2476,0.21,0.3,0.35,0.14,0.51,0.88
Ferden,244,0.11,0.22,0.45,0.22,0.55,0.97
Ferenbalm,1233,0.16,0.24,0.4,0.2,0.49,0.9
Ferpicloz,285,0.24,0.22,0.39,0.15,0.47,0.88
Ferrera,84,0.13,0.24,0.36,0.27,0.56,0.89
Ferreyres,314,0.24,0.26,0.39,0.11,0.54,0.93
Feuerthalen,3566,0.19,0.29,0.36,0.17,0.5,0.76
Feusisberg,5146,0.16,0.24,0.44,0.16,0.54,0.74
Fey,635,0.24,0.26,0.36,0.14,0.51,0.9
Fideris,600,0.15,0.29,0.36,0.2,0.5,0.93
Fiesch,927,0.11,0.28,0.4,0.21,0.53,0.86
Fieschertal,319,0.17,0.29,0.38,0.17,0.51,0.9
Fiez,420,0.27,0.22,0.38,0.14,0.48,0.9
Filisur,445,0.16,0.28,0.34,0.22,0.5,0.81
Finhaut,445,0.1,0.28,0.42,0.2,0.63,0.66
Finsterhennen,533,0.23,0.24,0.37,0.16,0.53,0.74
Fischbach,726,0.23,0.26,0.36,0.15,0.52,0.9
Fischbach-Göslikon,1626,0.2,0.29,0.38,0.13,0.5,0.87
Fischenthal,2419,0.22,0.27,0.38,0.13,0.51,0.87
Fischingen,2643,0.19,0.25,0.39,0.17,0.51,0.91
Fisibach,440,0.2,0.28,0.4,0.12,0.53,0.76
Fislisbach,5556,0.18,0.29,0.34,0.19,0.49,0.75
Flaach,1359,0.19,0.25,0.4,0.16,0.51,0.85
Flawil,10367,0.2,0.29,0.34,0.17,0.5,0.71
Flerden,229,0.27,0.22,0.35,0.16,0.49,0.96
Flims,2697,0.13,0.3,0.33,0.24,0.5,0.79
Flumenthal,959,0.14,0.26,0.39,0.21,0.5,0.9
Flums,4869,0.19,0.29,0.34,0.18,0.51,0.77
Flurlingen,1438,0.19,0.24,0.4,0.17,0.51,0.85
Fläsch,713,0.17,0.3,0.37,0.16,0.5,0.92
Flüelen,1972,0.19,0.25,0.37,0.19,0.51,0.87
Flühli,1882,0.17,0.35,0.31,0.17,0.52,0.82
Fontaines-sur-Grandson,191,0.25,0.25,0.38,0.13,0.48,0.84
Fontenais,1671,0.21,0.24,0.35,0.2,0.5,0.91
Forel (Lavaux),2091,0.21,0.28,0.36,0.15,0.49,0.81
Forel-sur-Lucens,152,0.17,0.27,0.34,0.22,0.49,0.95
Forst-Längenbühl,776,0.21,0.28,0.36,0.16,0.48,0.97
Founex,3631,0.26,0.24,0.38,0.13,0.5,0.56
Frasco,100,0.15,0.14,0.45,0.26,0.47,0.99
Fraubrunnen,4888,0.19,0.24,0.39,0.18,0.49,0.94
Frauenfeld,24862,0.17,0.32,0.34,0.17,0.49,0.76
Frauenkappelen,1206,0.15,0.24,0.4,0.21,0.49,0.92
Freienbach,16035,0.16,0.26,0.41,0.18,0.53,0.73
Freienstein-Teufen,2305,0.18,0.23,0.42,0.17,0.51,0.86
Freienwil,980,0.23,0.24,0.41,0.12,0.48,0.85
Freimettigen,469,0.23,0.24,0.37,0.16,0.49,0.94
Frenkendorf,6489,0.18,0.28,0.35,0.18,0.5,0.68
Fresens,222,0.25,0.26,0.27,0.21,0.49,0.97
Fribourg,38483,0.17,0.36,0.3,0.16,0.5,0.63
Frick,5283,0.18,0.3,0.35,0.17,0.51,0.76
Froideville,2429,0.24,0.28,0.35,0.12,0.51,0.83
Frutigen,6857,0.2,0.28,0.33,0.19,0.49,0.93
Fräschels,460,0.13,0.25,0.46,0.15,0.53,0.92
Fulenbach,1726,0.19,0.26,0.38,0.17,0.51,0.89
Full-Reuenthal,868,0.2,0.23,0.41,0.16,0.52,0.85
Fully,8524,0.21,0.3,0.35,0.15,0.5,0.8
Furna,209,0.23,0.24,0.31,0.22,0.46,0.96
Fällanden,8354,0.2,0.26,0.36,0.19,0.49,0.78
Féchy,855,0.21,0.25,0.38,0.16,0.5,0.71
Fétigny,962,0.26,0.29,0.31,0.14,0.51,0.86
Füllinsdorf,4383,0.15,0.24,0.34,0.26,0.49,0.72
Fürstenau,345,0.17,0.24,0.35,0.24,0.49,0.92
Gachnang,3984,0.2,0.28,0.38,0.14,0.51,0.85
Gais,3073,0.18,0.26,0.38,0.19,0.51,0.87
Gaiserwald,8377,0.19,0.27,0.35,0.19,0.49,0.86
Galgenen,5140,0.19,0.29,0.37,0.15,0.51,0.81
Galmiz,645,0.19,0.23,0.4,0.18,0.52,0.85
Gals,780,0.2,0.21,0.4,0.19,0.49,0.89
Gambarogno,5136,0.15,0.23,0.39,0.23,0.49,0.79
Gampel-Bratsch,1909,0.15,0.26,0.38,0.21,0.51,0.87
Gampelen,864,0.17,0.31,0.36,0.17,0.53,0.83
Gams,3296,0.2,0.29,0.36,0.14,0.51,0.8
Gansingen,1000,0.18,0.24,0.38,0.2,0.51,0.93
Gebenstorf,4973,0.16,0.29,0.37,0.18,0.51,0.72
Gelterfingen,269,0.12,0.19,0.42,0.27,0.52,0.91
Gelterkinden,5994,0.17,0.27,0.35,0.2,0.49,0.81
Geltwil,201,0.19,0.38,0.34,0.09,0.51,0.86
Gempen,889,0.22,0.22,0.39,0.17,0.49,0.79
Gempenach,307,0.12,0.28,0.44,0.15,0.53,0.91
Genolier,1929,0.21,0.24,0.38,0.17,0.49,0.68
Genthod,2745,0.22,0.24,0.37,0.17,0.49,0.65
Genève,198001,0.16,0.34,0.34,0.16,0.48,0.52
Gerlafingen,4988,0.19,0.29,0.34,0.18,0.5,0.63
Geroldswil,4868,0.19,0.27,0.35,0.19,0.51,0.75
Gersau,2240,0.14,0.25,0.4,0.2,0.52,0.8
Gerzensee,1162,0.19,0.26,0.38,0.18,0.49,0.94
Gettnau,1140,0.23,0.29,0.34,0.13,0.54,0.79
Geuensee,2843,0.23,0.31,0.35,0.11,0.5,0.78
Gibloux,7139,0.24,0.29,0.36,0.11,0.5,0.86
Giebenach,1036,0.17,0.26,0.39,0.17,0.51,0.79
Giez,388,0.19,0.23,0.39,0.19,0.51,0.88
Giffers,1535,0.2,0.24,0.39,0.16,0.5,0.92
Gilly,1134,0.22,0.25,0.41,0.12,0.49,0.71
Gimel,1912,0.22,0.26,0.37,0.15,0.49,0.76
Gingins,1223,0.22,0.21,0.41,0.16,0.49,0.73
Giornico,878,0.15,0.22,0.38,0.25,0.51,0.7
Gipf-Oberfrick,3543,0.19,0.26,0.39,0.15,0.5,0.87
Gisikon,1189,0.19,0.31,0.4,0.11,0.51,0.81
Giswil,3586,0.19,0.28,0.38,0.15,0.51,0.89
Giubiasco,8626,0.17,0.27,0.35,0.21,0.48,0.72
Givisiez,3125,0.21,0.36,0.32,0.11,0.5,0.65
Givrins,983,0.21,0.23,0.39,0.17,0.52,0.7
Gland,12727,0.22,0.32,0.36,0.11,0.49,0.64
Glarus,12569,0.18,0.29,0.35,0.19,0.51,0.73
Glarus Nord,17795,0.18,0.3,0.35,0.17,0.51,0.76
Glarus Süd,9661,0.14,0.24,0.38,0.23,0.51,0.82
Glattfelden,4955,0.19,0.29,0.38,0.14,0.5,0.76
Gletterens,1004,0.22,0.24,0.39,0.16,0.5,0.86
Gnosca,735,0.22,0.24,0.33,0.2,0.49,0.87
Golaten,314,0.14,0.3,0.36,0.21,0.51,0.87
Goldach,9108,0.17,0.26,0.35,0.21,0.48,0.76
Gollion,866,0.19,0.31,0.37,0.13,0.51,0.83
Gommiswald,4969,0.19,0.24,0.4,0.18,0.51,0.88
Gondiswil,737,0.21,0.21,0.36,0.21,0.48,0.96
Gonten,1442,0.21,0.27,0.32,0.21,0.51,0.96
Gontenschwil,2078,0.18,0.25,0.38,0.19,0.51,0.83
Gordola,4509,0.17,0.24,0.37,0.21,0.49,0.81
Gorduno,788,0.2,0.27,0.36,0.17,0.48,0.84
Gorgier,2003,0.19,0.23,0.38,0.2,0.49,0.82
Gossau (SG),18005,0.17,0.3,0.34,0.19,0.5,0.8
Gossau (ZH),9756,0.19,0.25,0.38,0.18,0.5,0.86
Gottlieben,325,0.17,0.24,0.42,0.17,0.51,0.59
Goumoëns,1053,0.25,0.27,0.33,0.15,0.52,0.89
Graben,337,0.2,0.26,0.39,0.15,0.53,0.93
Grabs,6929,0.2,0.27,0.36,0.17,0.5,0.83
Grafschaft,195,0.11,0.19,0.32,0.37,0.5,0.91
Grancia,519,0.16,0.27,0.41,0.15,0.5,0.67
Grancy,396,0.19,0.27,0.39,0.15,0.5,0.85
Grandcour,851,0.22,0.29,0.32,0.17,0.51,0.88
Grandevent,232,0.23,0.2,0.42,0.15,0.48,0.85
Grandfontaine,392,0.23,0.21,0.35,0.2,0.47,0.95
Grandson,3306,0.19,0.29,0.35,0.16,0.49,0.81
Grandval,388,0.17,0.27,0.36,0.19,0.53,0.92
Grandvillard,795,0.23,0.27,0.36,0.14,0.5,0.88
Granges (Veveyse),834,0.24,0.22,0.41,0.14,0.5,0.86
Granges-Paccot,3358,0.22,0.38,0.32,0.08,0.5,0.69
Grangettes,191,0.23,0.32,0.34,0.12,0.51,0.92
Gravesano,1265,0.17,0.23,0.39,0.21,0.48,0.81
Greifensee,5374,0.2,0.28,0.32,0.2,0.5,0.81
Grellingen,1840,0.17,0.26,0.41,0.16,0.51,0.73
Grenchen,16738,0.16,0.28,0.34,0.22,0.49,0.66
Greng,177,0.16,0.21,0.48,0.15,0.48,0.9
Grengiols,431,0.17,0.25,0.36,0.22,0.48,0.96
Grens,387,0.24,0.23,0.36,0.17,0.49,0.73
Greppen,1036,0.23,0.22,0.44,0.11,0.51,0.84
Gretzenbach,2643,0.19,0.28,0.39,0.14,0.5,0.79
Grimisuat,3218,0.22,0.27,0.33,0.17,0.49,0.86
Grindel,486,0.15,0.22,0.42,0.2,0.49,0.91
Grindelwald,3739,0.14,0.28,0.35,0.22,0.51,0.8
Grolley,1899,0.2,0.32,0.35,0.12,0.5,0.79
Grono,1020,0.15,0.26,0.38,0.2,0.53,0.68
Grossaffoltern,2999,0.18,0.23,0.4,0.19,0.5,0.94
Grossdietwil,831,0.19,0.27,0.39,0.15,0.51,0.92
Grosshöchstetten,3516,0.17,0.25,0.36,0.21,0.5,0.91
Grosswangen,3119,0.23,0.3,0.35,0.13,0.51,0.88
Grub (AR),1008,0.17,0.25,0.37,0.22,0.52,0.88
Gruyères,2153,0.22,0.29,0.34,0.14,0.51,0.8
Gryon,1267,0.18,0.23,0.37,0.21,0.52,0.69
Grächen,1351,0.15,0.25,0.41,0.19,0.5,0.9
Gränichen,7431,0.18,0.27,0.37,0.18,0.49,0.79
Grône,2311,0.18,0.27,0.38,0.17,0.49,0.8
Grüningen,3371,0.19,0.26,0.38,0.17,0.5,0.87
Grüsch,1984,0.18,0.25,0.4,0.17,0.5,0.93
Gsteig,976,0.15,0.29,0.38,0.18,0.51,0.84
Gsteigwiler,399,0.16,0.28,0.4,0.17,0.51,0.91
Gudo,830,0.17,0.25,0.37,0.21,0.49,0.82
Guggisberg,1550,0.19,0.23,0.37,0.21,0.5,0.98
Gunzgen,1655,0.17,0.26,0.42,0.15,0.51,0.88
Gurbrü,246,0.18,0.24,0.35,0.23,0.53,0.87
Gurmels,4142,0.2,0.26,0.41,0.13,0.5,0.91
Gurtnellen,577,0.17,0.21,0.38,0.23,0.52,0.89
Gurzelen,855,0.22,0.26,0.38,0.14,0.5,0.98
Guttannen,291,0.12,0.23,0.38,0.26,0.54,0.88
Guttet-Feschel,415,0.16,0.21,0.4,0.23,0.49,0.94
Gy,508,0.23,0.27,0.37,0.12,0.45,0.8
Gächlingen,824,0.16,0.25,0.39,0.19,0.51,0.92
