,Code commune,Population: Habitants (2014),Population: Variation en % (2010-2014),Population: Densité de la population par km² (2014),Population: Etrangers en % (2014),Répartition par âge en %: 0-19 ans (2014),Répartition par âge en %: 20-64 ans (2014),Répartition par âge en %: 65 ans ou plus (2014),Mouvement de la population (en ‰): Taux brut de nuptialité (2014),Mouvement de la population (en ‰): Taux brut de divortialité (2014),Mouvement de la population (en ‰): Taux brut de natalité (2014),Mouvement de la population (en ‰): Taux brut de mortalité (2014),Ménage: Ménages privés (2014),Ménage: Taille moyenne des ménages en personnes (2014),Surface: Surface totale en km² (2004/09),Surface: Surfaces d'habitat et d'infrastructure en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface agricole en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface boisée en % (2004/09),Surface: Surface improductive en % (2004/09),Economie 1): Emplois total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Economie 1): Etablissements total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Constructions et logements: Taux de logements vacants (2015),Constructions et logements: Nouveaux logements construits pour 1000 habitants (2013),Protection sociale: Taux d'aide sociale (2014),Partis politiques en % (élections au Conseil national): PLR 2) (2015),Partis politiques en % (élections au Conseil national): PDC (2015),Partis politiques en % (élections au Conseil national): PS (2015),Partis politiques en % (élections au Conseil national): UDC (2015),Partis politiques en % (élections au Conseil national): PEV/PCS (2015),Partis politiques en % (élections au Conseil national): PVL (2015),Partis politiques en % (élections au Conseil national): PBD (2015),Partis politiques en % (élections au Conseil national): PST/Sol. (2015),Partis politiques en % (élections au Conseil national): PES (2015),Partis politiques en % (élections au Conseil national): Petits partis de droite (2015),Partis politiques en % (élections au Conseil national): Autres (2015),Infractions en ‰ de la population totale: selon le Code pénal (CP) (2014),Infractions en ‰ de la population totale: selon la Loi sur les stupéfiants et les produits psychotropes (LStup) (2014),Infractions en ‰ de la population totale: selon la Loi sur les étrangers (LEtr) (2014)
Dorf,26,646,2.2151898734,116.1870503597,8.0495356037,22.4458204334,62.8482972136,14.7058823529,3.1570639305,3.1570639305,7.8926598264,1.5785319653,244,2.6475409836,5.54,12.4548736462,52,46.3898916968,-53,40.9747292419,0.18050541520000002,157,35,23,99,45,11,7,27,0,0,0.3220611916,10.474650653,1.9748238827,10.520845363,49.151172191,2.2404434692,3.2220810717,5.4509758633,0.057743388400000005,2.6215498325,11.386996189,2.898718,27.3752012882,20.9339774557,0
Feuerthalen,27,3498,0.22922636100000002,1410.4838709677,23.5563178959,19.8684962836,63.2075471698,16.9239565466,8.8723526045,3.14825415,10.3033772181,6.5827132227,1558,2.2098844673,2.5,42.8,14,11.2,-16,44,2,1051,9,246,796,186,1,39,146,1.6317016317,1.1461318052,2.893982808,10.621146037,3.702812453,23.272672582,36.588960746,2.3943450143,6.1182132652,5.0864791698,0.042111595700000004,5.7121371635,2.3582493608,4.102873,29.5128939828,1.1461318052,1.4326647564
Flaach,28,1363,11.0839445803,134.0216322517,13.7931034483,21.6434336023,62.8026412326,15.5539251651,1.4738393515000001,5.1584377303,11.0537951363,6.6322770818,563,2.3996447602,10.2,8.431372549,11,50.8823529412,-16,33.7254901961,6.9607843137,678,94,127,457,139,28,23,88,0.837520938,1.4803849001,0.666173205,10.997373921,1.2165710917,11.06168605,50.951283563,6.0935741465,3.7890562195,5.3968594244,0.021437376100000002,3.2316844418,5.6273112171,1.613163,30.3478904515,0.74019245,0
Flurlingen,29,1426,-0.1400560224,591.7012448133,15.778401122,21.0378681627,62.0617110799,16.9004207574,5.6537102473,4.2402826855,7.0671378092,7.7738515901,603,2.3233830846,2.4,22.9166666667,14,17.0833333333,-16,56.6666666667,3.3333333333,514,6,145,363,117,3,22,92,1.0752688172,0,0.9259259259,16.930242634,4.2244367418,21.956239168,28.049176776,1.9009965337999999,9.0337954939,5.0801559792,0.0270797227,6.4612218371,1.6951906412,4.641464,24.9287749288,1.4245014245,2.1367521368
Andelfingen,30,2153,15.752688172,319.4362017804,12.6799814213,23.0840687413,58.1049698096,18.8109614491,5.1728191865,3.2917940277,11.7564072419,7.5241006348,884,2.4196832579,6.69,15.8445440957,18,46.0388639761,-15,32.8849028401,5.2316890882,1350,41,573,736,183,14,35,134,0.6103763988,5.7142857143,1.1904761905,16.433186209,2.3252094927,11.773172136,34.091345231,7.6472845903,10.40107465,5.3860423463,0.0255868995,6.7197594831,2.8209556707,2.376383,41.4285714286,6.1904761905,0.9523809524
Henggart,31,2275,2.801626751,750.8250825083,9.6263736264,25.010989011,57.978021978,17.010989011,3.5164835165,0.8791208791,3.5164835165,5.2747252747,908,2.4944933921,3.06,22.8758169935,28,56.2091503268,-32,19.9346405229,0.9803921569,643,19,396,228,112,10,22,80,0.8359456635,9.2307692308,1.3626373626000001,13.495539854,2.2092911724,15.410685168,37.775362087,7.0467116411,8.5494133069,4.7766729546,0.0255779007,4.9493237843,4.2651149407,1.496307,37.3626373626,6.5934065934,1.7582417582
Humlikon,32,498,8.971553610499999,135.3260869565,5.6224899598,25.3012048193,55.0200803213,19.6787148594,4.0816326531,0,14.2857142857,10.2040816327,176,2.7897727273,3.68,9.5108695652,11,62.5,-10,27.7173913043,0.27173913040000003,175,18,9,148,36,7,6,23,1.5706806282999999,0,0.41493775930000004,15.029761905,1.7708333333000001,9.3601190476,50.014880952,2.8720238095,7.5446428571,4.3154761905,0.029761904800000002,2.7678571429,4.7767857143,1.517857,14.5228215768,0,0
Kleinandelfingen,33,2062,-1.103117506,200.3887269193,12.3666343356,22.2114451988,62.2211445199,15.5674102813,1.9474196689,1.9474196689,7.3028237585,5.8422590068,862,2.3723897912,10.29,13.2167152575,26,50.1457725948,-26,32.8474246842,3.7900874636,958,66,378,514,186,28,37,121,1.4507772021,5.376344086,1.4662756598,12.588736394,1.5872438021000002,14.186901598,42.633514143,3.2363755506,8.6570315629,6.6838982125,0.025483272100000003,5.3878918053,3.1344424624,1.878481,43.4995112414,1.9550342131,1.4662756598
Laufen-Uhwiesen,34,1632,8.0079417604,259.4594594595,11.8259803922,21.0784313725,57.7205882353,21.2009803922,6.1462814997,3.6877688998,8.6047940996,3.6877688998,696,2.3247126437,6.25,12.48,10,39.36,-10,44.64,3.52,422,61,160,201,88,19,18,51,1.5978695073,22.1948212084,0.924784217,16.708659948,3.8867114595,11.151549085,39.716312057,1.8010451661,7.1388577828,8.4266517357,0.1259798432,4.413960433,3.9706980216,2.659574,32.6757090012,5.5487053021,0.6165228113
Marthalen,35,1990,3.0554117038,140.8351026185,10.8040201005,21.1055276382,62.5628140704,16.3316582915,4.0231330148,4.0231330148,9.0520492834,9.0520492834,830,2.365060241,14.15,11.8021201413,34,47.2084805654,-36,39.1519434629,1.8374558304000002,1063,106,269,688,206,36,49,121,0.5586592179000001,2.5163563161,1.0065425264,7.8040710638,2.0643026685,11.173847371,47.759476372,2.7440120837,7.0632237647,7.0560310724,0.007192692200000001,8.0234481767,4.3983312954,1.906063,35.732259688,6.0392551585,0
