,Code commune,Population: Habitants (2014),Population: Variation en % (2010-2014),Population: Densité de la population par km² (2014),Population: Etrangers en % (2014),Répartition par âge en %: 0-19 ans (2014),Répartition par âge en %: 20-64 ans (2014),Répartition par âge en %: 65 ans ou plus (2014),Mouvement de la population (en ‰): Taux brut de nuptialité (2014),Mouvement de la population (en ‰): Taux brut de divortialité (2014),Mouvement de la population (en ‰): Taux brut de natalité (2014),Mouvement de la population (en ‰): Taux brut de mortalité (2014),Ménage: Ménages privés (2014),Ménage: Taille moyenne des ménages en personnes (2014),Surface: Surface totale en km² (2004/09),Surface: Surfaces d'habitat et d'infrastructure en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface agricole en % (2004/09),Surface: Variation en ha (1979/85-2004/09),Surface: Surface boisée en % (2004/09),Surface: Surface improductive en % (2004/09),Economie 1): Emplois total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Economie 1): Etablissements total (2013),Economie 1): Secteur primaire (2013),Economie 1): Secteur secondaire (2013),Economie 1): Secteur tertiaire (2013),Constructions et logements: Taux de logements vacants (2015),Constructions et logements: Nouveaux logements construits pour 1000 habitants (2013),Protection sociale: Taux d'aide sociale (2014),Partis politiques en % (élections au Conseil national): PLR 2) (2015),Partis politiques en % (élections au Conseil national): PDC (2015),Partis politiques en % (élections au Conseil national): PS (2015),Partis politiques en % (élections au Conseil national): UDC (2015),Partis politiques en % (élections au Conseil national): PEV/PCS (2015),Partis politiques en % (élections au Conseil national): PVL (2015),Partis politiques en % (élections au Conseil national): PBD (2015),Partis politiques en % (élections au Conseil national): PST/Sol. (2015),Partis politiques en % (élections au Conseil national): PES (2015),Partis politiques en % (élections au Conseil national): Petits partis de droite (2015),Partis politiques en % (élections au Conseil national): Autres (2015),Infractions en ‰ de la population totale: selon le Code pénal (CP) (2014),Infractions en ‰ de la population totale: selon la Loi sur les stupéfiants et les produits psychotropes (LStup) (2014),Infractions en ‰ de la population totale: selon la Loi sur les étrangers (LEtr) (2014)
Bivio,3531,189,-7.3529411765,2.4628616106,24.8677248677,12.6984126984,55.5555555556,31.746031746,0,5.1948051948,5.1948051948,10.3896103896,99,1.898989899,76.7,0.5606258149000001,15,48.8265971317,-63,2.555410691,48.0573663625,126,11,15,100,38,6,7,25,1.4184397163,5.1020408163,0,18.636363636,11.363636364,19.090909091,24.545454545,*,11.818181818,14.545454545,*,*,*,*,198.9795918367,0,0
Cunter,3532,256,6.6666666667,35.9550561798,31.25,17.1875,65.625,17.1875,0,3.9682539683,11.9047619048,11.9047619048,118,2.1694915254,7.11,2.9535864979,6,30.6610407876,-28,51.1954992968,15.1898734177,92,9,55,28,24,5,5,14,1.9267822736,20.1612903226,0,11.818181818,44.545454545,13.03030303,15.757575758,*,4.8484848485,10,*,*,*,*,12.0967741935,0,0
Marmorera,3533,31,-27.9069767442,1.6402116402,3.2258064516,3.2258064516,74.1935483871,22.5806451613,0,0,0,0,16,1.9375,18.99,1.0005265929,3,35.1764086361,-20,24.4339125856,39.3891521854,10,2,0,8,4,1,0,3,2.0833333333,0,0,3.7037037037,22.222222222,9.2592592593,33.333333333,*,11.111111111,20.37037037,*,*,*,*,96.7741935484,0,0
Mulegns,3534,25,-16.6666666667,0.739863865,0,12,36,52,0,0,0,37.7358490566,13,1.9230769231,33.8,0.5917159763000001,6,30.650887574,-30,10.5917159763,58.1656804734,10,10,0,0,5,5,0,0,0,0,0,18.181818182,43.636363636,*,9.0909090909,*,9.0909090909,20,*,*,*,*,0,0,0
Riom-Parsonz,3536,304,0.3300330033,5.4314811506,3.6184210526,15.4605263158,60.5263157895,24.0131578947,16.7224080268,6.6889632107,10.0334448161,6.6889632107,141,2.1489361702,56.04,1.142041399,12,51.8201284797,-86,18.8615274804,28.176302641,148,47,6,95,44,16,4,24,0.23364485980000002,0,1.7006802721,28.674698795,24.578313253,16.86746988,14.698795181,*,4.8192771084,9.156626506,*,*,*,1.204819,71.4285714286,0,0
Salouf,3538,216,-0.9174311927000001,6.8593204192,5.5555555556,20.3703703704,63.8888888889,15.7407407407,0,9.2592592593,13.8888888889,9.2592592593,85,2.5294117647,31.41,1.0187838268,0,43.7440305635,-29,28.7806431073,26.4565425024,99,32,19,48,31,12,5,14,1.2048192771,9.2592592593,0,15.898617512,34.331797235,8.9861751152,13.824884793,*,11.290322581,15.668202765,*,*,*,*,37.037037037,0,0
Savognin,3539,1016,5.8333333333,45.6834532374,17.5196850394,16.3385826772,60.9251968504,22.7362204724,6.9135802469000005,0.9876543210000001,11.8518518519,7.9012345679,492,2.0284552846,22.23,3.5987404408,16,33.1983805668,-55,36.7071524966,26.4957264957,848,47,188,613,139,18,26,95,1.3197969543,50.5450941526,0.39643211100000003,14.548238897000001,31.699846861,10.719754977000001,24.655436447,*,6.0490045942,12.327718224,*,*,*,*,53.5183349851,1.982160555,0
Sur,3540,68,-31.3131313131,2.9285099053,17.6470588235,8.8235294118,51.4705882353,39.7058823529,0,0,0,68.4931506849,39,1.7435897436,23.18,0.6039689387,1,42.0621225194,-42,14.1932700604,43.1406384814,32,14,4,14,17,5,2,10,0,0,0,17.045454545,23.863636364,17.045454545,26.136363636,*,2.2727272727,13.636363636,*,*,*,*,12.8205128205,0,0
Tinizong-Rona,3541,320,-5.604719764,5.8931860037,21.5625,13.125,64.0625,22.8125,9.2879256966,3.0959752322,3.0959752322,9.2879256966,143,2.2097902098,54.3,0.9208103131,4,33.8674033149,-98,26.2430939227,38.9686924494,106,30,51,25,33,11,7,15,0.9756097561,0,0,15.662650602,24.096385542,19.759036145,11.56626506,*,9.6385542169,18.554216867,*,*,*,0.722892,21.472392638,0,0
Albula/Alvra,3542,1322,-3.0080704329,14.0743106569,13.3131618759,16.9440242057,60.6656580938,22.3903177005,5.245410266,1.4986886474,5.9947545897,11.9895091795,583,2.2452830189,93.98,2.7984677591000002,58,28.0591615237,-137,46.3183656097,22.8240051075,691,119,112,460,182,50,27,105,2.1390374332,2.2271714922,0.8908685969000001,7.8546882671,38.684339715,12.076583211,24.594992636,*,5.6946489935999995,10.996563574,*,*,*,0.098184,56.4216778025,6.6815144766,0
Brusio,3551,1130,0.6233303651000001,24.4060475162,10,16.3716814159,56.1061946903,27.5221238938,3.5618878005,3.5618878005,9.7951914515,13.357079252,469,2.3859275053,46.25,2.4648648649,26,15.3081081081,-187,55.6324324324,26.5945945946,747,98,340,309,139,23,30,86,0.8462623413,4.4802867384,0.8064516129,6.4910025707,16.838046272,14.267352185,55.59125964,*,1.9922879177000001,4.8200514139,*,*,*,*,27.7777777778,3.5842293907,2.688172043
Poschiavo,3561,3522,0.4563605248,18.4388251924,8.7450312323,19.33560477,57.0414537195,23.6229415105,5.3954280846,0.8519096976,9.6549765725,13.0626153628,1453,2.3516861666,190.95,1.770096884,56,18.9578423671,-446,33.44854674,45.8235140089,1953,204,669,1080,414,74,87,253,2.9844290657,1.4200511218,0.39761431410000003,6.9928966062,30.197316496,17.095501184,37.584846093,*,3.3938437253,4.6250986582,*,*,*,0.110497,33.2291962511,0,0.8520306731
Falera,3572,593,2.4179620035,26.5205724508,13.4907251265,16.1888701518,57.8414839798,25.9696458685,1.6849199663,1.6849199663,3.3698399326,6.7396798652,249,2.3775100402,22.35,2.6398210291,18,60,-79,20.0447427293,17.3154362416,278,36,78,164,45,12,5,28,1.8223234624,8.4175084175,0,8.6255259467,46.283309958,6.7321178121,29.312762973,*,4.347826087,4.698457223,*,*,*,*,21.8855218855,0,0
Laax,3575,1566,16.3447251114,49.3850520341,18.2630906769,13.7931034483,66.8582375479,19.3486590038,5.859375,3.2552083333,13.671875,7.1614583333,809,1.9320148331,31.68,3.9772727273,24,34.2171717172,-52,30.8396464646,30.9659090909,1382,28,118,1236,172,11,22,139,3.7146702556999998,128.818061089,1.1288180611,15.359871331,32.167269803,7.8005629272,30.116606353,*,5.1065540812,9.3687173301,*,*,*,0.080418,82.3373173971,3.3200531208,0
Sagogn,3581,673,0.2980625931,97.2543352601,10.4011887073,19.7622585438,59.2867756315,20.9509658247,5.9435364042,4.4576523031,16.3447251114,1.485884101,290,2.2965517241,6.95,9.3525179856,37,19.1366906475,-41,58.9928057554,12.5179856115,119,14,21,84,40,5,6,29,1.7518248175000002,10.4011887073,0.1485884101,14.224507284,30.505569837,19.10882605,21.336760925,*,6.5981148243,8.1405312768,*,*,*,0.08569,13.3729569094,0,0
Schluein,3582,563,7.6481835564,117.5365344468,19.0053285968,18.1172291297,65.0088809947,16.8738898757,5.2038161318,0,15.6114483955,6.9384215091,255,2.0745098039,4.8100000000000005,7.4844074844,12,29.106029106,-22,56.340956341,7.0686070686,257,15,75,167,63,6,13,44,0.6289308176,45.7627118644,1.0169491525,7.1535022355,43.517138599,7.7496274218,24.888226528,*,8.0476900149,8.6438152012,*,*,*,*,44.0677966102,6.7796610169000004,0
Vals,3603,1008,-5.5295220244,5.7412997665,16.2698412698,17.8571428571,58.7301587302,23.4126984127,3.9721946375,2.9791459782,8.9374379345,16.8818272095,442,2.2624434389,175.51,0.5640704233,29,32.1577118113,-368,12.2386188821,55.0395988833,691,83,217,391,111,29,19,63,2.657807309,10.9343936382,0.7952286282000001,8.2693443591,46.958062611,11.518015357,12.758417011,*,5.4932073243,15.002953337,*,*,*,*,34.7912524851,2.9821073559,0
Andiast,3611,196,-11.7117117117,14.3800440205,10.2040816327,16.8367346939,60.2040816327,22.9591836735,9.8765432099,0,0,24.6913580247,83,2.3614457831,13.63,1.4673514307,6,43.5069699193,-29,28.1731474688,26.8525311812,89,29,20,40,28,12,4,12,2.6086956521999998,23.9234449761,0.9569377990000001,7.2351421189,49.354005168,4.9095607235,23.772609819,*,4.1343669251,10.594315245,*,*,*,*,4.7846889952,0,0
Obersaxen,3612,838,1.2077294686,13.5664562085,9.1885441527,18.3770883055,60.7398568019,20.8830548926,2.4125452352,2.4125452352,6.0313630881,10.8564535585,371,2.2318059299,61.53,2.1127905087,31,52.478465789,-106,24.2808386153,21.1279050869,499,79,114,306,126,36,14,76,0.0974658869,46.3414634146,0.9756097561,10,51.893491124,5.7396449704,22.426035503,*,2.899408284,6.9822485207,*,*,*,0.059172,23.1707317073,0,2.4390243902
Waltensburg/Vuorz,3616,343,-5.7692307692,10.6159083875,7.5801749271,16.6180758017,60.0583090379,23.3236151603,11.7474302496,0,11.7474302496,8.8105726872,143,2.3706293706,32.32,1.7326732673,7,35.4888613861,-36,22.926980198,39.8514851485,97,42,9,46,35,14,4,17,1.3029315961,5.9171597633,1.4792899408,9.3625498008,15.139442231,20.517928287,19.920318725,*,9.9601593625,25.099601594,*,*,*,*,26.6272189349,2.9585798817,0
Mundaun,3617,301,-3.8338658147,35.0407450524,9.3023255814,15.9468438538,60.4651162791,23.5880398671,3.2894736842,0,6.5789473684,6.5789473684,141,2.134751773,8.59,4.190919674,7,59.8370197905,-21,28.9871944121,6.9848661234,141,25,16,100,31,11,2,18,0.3590664273,16.2866449511,1.3029315961,5.657708628,41.867043847,7.9207920792,25.176803395,*,3.8189533239,15.13437058,*,*,*,0.424328,35.8306188925,0,0
Lumnezia,3618,2078,-6.2274368231,12.5581676437,3.7054860443,15.3994225217,57.7959576516,26.8046198268,2.3832221163,0.9532888465,7.1496663489,11.9161105815,881,2.3053348468,165.43,1.4386749683,46,44.8346732757,-385,21.7252009914,32.0014507647,892,274,215,403,270,116,43,111,1.5845070423,9.4428706327,0.5193578848,3.0015392509,56.618778861,7.0548999487,22.524371473,*,4.0277065162,6.7727039507,*,*,*,*,8.970727101,0,0
Ilanz/Glion,3619,4687,1.6923410718,35.1138747378,14.7855771282,18.8820140815,59.9957328782,21.1222530403,3.2233802514,1.9340281509000001,7.3063285699,8.3807886537,1982,2.2527749748,133.43,2.7280221839000003,64,36.1013265383,-383,37.8400659522,23.3305853256,3275,231,594,2450,521,92,67,362,0.8387096774,9.7402597403,1.1688311688,7.9147640791,36.308288363,12.384115124000001,27.853881279,*,5.3410820534,10.184032102,*,*,*,0.013837,27.2727272727,6.2770562771,1.2987012987
Fürstenau,3633,362,3.4285714286,274.2424242424,8.2872928177,20.9944751381,57.4585635359,21.546961326,0,2.7548209366,2.7548209366,0,150,2.4,1.3,10.7692307692,1,50,-2,33.0769230769,6.1538461538,167,12,0,155,29,4,0,25,1.5544041451,0,0,19.135802469,5.7098765432,19.598765432,28.395061728,*,8.487654321,18.055555556,*,*,*,0.617284,8.2417582418,0,0
Rothenbrunnen,3637,309,-1.5923566879000002,99.3569131833,12.6213592233,22.0064724919,66.0194174757,11.9741100324,6.4724919094,3.2362459547,6.4724919094,3.2362459547,127,2.3858267717,3.1,9.3548387097,5,11.2903225806,-9,68.3870967742,10.9677419355,460,8,29,423,28,2,8,18,1.3071895425,0,0.6472491909,5.8,6.4,31.6,32,*,4.2,19.8,*,*,*,0.2,42.071197411,29.1262135922,0
Scharans,3638,830,2.0910209102,58.0825752274,4.8192771084,20.9638554217,59.3975903614,19.6385542169,3.6231884058,1.2077294686,13.2850241546,9.6618357488,339,2.4218289086,14.28,3.7114845938,9,25.7703081232,-33,64.1456582633,6.3725490196,397,27,39,331,60,13,8,39,1.4251781473,1.210653753,0.3631961259,12.42019733,6.8485200232,28.206616367,28.612884504,*,10.446894951,13.464886825,*,*,*,*,19.3704600484,6.0532687651,0
Sils im Domleschg,3640,924,5.6,99.5689655172,16.341991342,21.5367965368,58.1168831169,20.3463203463,5.4975261132,2.1990104453,10.9950522265,5.4975261132,387,2.3617571058999998,9.32,8.1545064378,7,14.5922746781,-4,70.3862660944,6.8669527897,286,18,163,105,72,7,20,45,2.3655913978,7.8212290503,1.4525139665,12.718023256,9.375,15.11627907,35.828488372,*,6.9040697674,20.058139535,*,*,*,*,27.9329608939,1.1173184358000001,0
Cazis,3661,2144,6.7729083665,68.7620269403,15.9981343284,20.5690298507,61.5671641791,17.8638059701,5.0996754752,2.3180343069,7.4177097821,10.6629578118,842,2.4287410926,31.2,6.25,39,50.0641025641,-163,36.5064102564,7.1794871795,1145,117,266,762,173,45,39,89,0.1488095238,10.1382488479,1.8894009217,8.2963901203,18.23939202,14.37618746,34.515516149,*,6.3647878404,17.986067131,*,*,*,0.221659,47.9262672811,16.1290322581,2.7649769585
Flerden,3662,223,-2.6200873362,36.6174055829,3.1390134529,27.802690583,55.1569506726,17.0403587444,8.9686098655,0,8.9686098655,4.4843049327,78,2.8076923077,6.06,4.1254125413,4,50,-28,30.6930693069,15.1815181518,62,35,4,23,29,14,3,12,0,0,0,17.880794702,14.569536424,9.2715231788,20.971302428,*,3.7527593819,33.333333333,*,*,*,0.220751,0,0,0
Masein,3663,475,16.1369193154,113.0952380952,3.1578947368,23.3684210526,65.0526315789,11.5789473684,6.5359477124000005,2.1786492375,19.6078431373,4.3572984749,169,2.7928994083000003,4.19,6.2052505967,7,38.6634844869,-5,52.9832935561,2.1479713604,74,20,3,51,34,8,1,25,0.9569377990000001,9.0293453725,0.2257336343,15.632183908,5.8620689655,28.16091954,19.195402299,*,12.183908046,18.850574713,*,*,*,0.114943,24.8306997743,4.5146726862,0
Thusis,3668,2994,7.2733787173,439.6475770925,31.3293253173,19.9732798931,61.2224448898,18.8042752171,5.3872053872,1.0101010101,11.7845117845,9.4276094276,1321,2.2240726722,6.84,16.5204678363,20,17.1052631579,-26,60.0877192982,6.2865497076,2277,13,561,1703,322,3,41,278,0.7096774194000001,0,2.9192124915,19.92370892,10.651408451,17.253521127,26.731220657,*,6.8075117371000005,18.339201878,*,*,*,0.293427,47.5220638153,10.183299389,1.6972165648000002
Tschappina,3669,128,-9.219858156,5.1884880422,5.46875,16.40625,61.71875,21.875,0,0,7.5187969925,15.037593985,54,2.3333333333,24.67,1.1755168221,10,36.9679773004,-153,27.6043777868,34.2521280908,78,46,2,30,31,19,2,10,0,0,0,12.121212121,7.2727272727,11.515151515,16.363636364,*,14.242424242,38.181818182,*,*,*,0.30303,79.7101449275,0,0
Urmein,3670,135,22.7272727273,31.1778290993,7.4074074074,11.8518518519,50.3703703704,37.7777777778,7.6045627376,0,15.2091254753,7.6045627376,67,1.9850746269,4.35,6.6666666667,4,45.7471264368,-5,41.1494252874,6.4367816092,70,28,0,42,20,9,0,11,0,31.25,0,13.705583756,7.8680203046,8.6294416244,24.111675127,*,5.076142132,40.355329949,*,*,*,0.253807,7.8125,0,0
Safiental,3672,895,-5.5907172996,5.9107119271,5.6983240223,21.0055865922,56.0893854749,22.905027933,2.2136137244,3.3204205866,8.8544548976,13.2816823464,353,2.5155807365,151.42,1.1887465328,51,38.7729494122,-324,31.0857218333,28.9525822216,390,200,62,128,151,78,19,54,0.5390835580000001,2.1929824561,0.2192982456,6.5682281059,6.9246435845,18.075356415,23.472505092,*,5.1425661914,39.816700611,*,*,*,*,1.0964912281,0,0
Domleschg,3673,1939,1.9989479221000002,42.2164162857,3.7132542548,21.557503868,61.9907168644,16.4517792677,2.5773195876,4.1237113402,10.824742268,8.2474226804,818,2.358190709,45.94,3.2651284284,45,36.1123204179,-142,49.3252067915,11.2973443622,459,142,44,273,197,53,25,119,1.2897678418,2.0607934055,0.30911901080000004,10.673150755,11.287432813,27.489122089,22.805221397,*,10.417199898,17.19989762,*,*,*,0.127975,21.123132406,2.5759917568,0
Avers,3681,167,-1.7647058824,1.7933848797,5.9880239521,20.3592814371,56.2874251497,23.3532934132,0,0,5.8997050147,17.6991150442,72,2.3194444444,93.08,0.47271164590000003,3,49.3661366566,-188,6.0270734852,44.1340782123,110,43,16,51,32,15,2,15,0,5.8139534884,0,8.9189189189,12.432432432,11.351351351,27.297297297,*,7.2972972973,32.702702703,*,*,*,*,69.7674418605,0,0
Hinterrhein,3691,65,-8.450704225399999,1.3457556936000001,1.5384615385,20,52.3076923077,27.692307692299998,0,0,0,0,25,2.6,48.38,1.1368334022,13,21.8065316246,-40,7.8338156263,69.2228193468,31,24,4,3,16,10,4,2,2.8169014085,15.873015873,0,10.674157303,3.3707865169,*,15.168539326,*,1.6853932584,69.101123596,*,*,*,*,15.873015873,15.873015873,0
Nufenen,3693,157,-0.6329113924,5.601141634,9.5541401274,29.9363057325,46.4968152866,23.5668789809,6.3897763578,0,19.1693290735,6.3897763578,52,2.9230769231,28.07,1.0331314571,2,49.6971856074,-97,15.9600997506,33.3095831849,75,44,14,17,30,16,5,9,7.4626865672000005,6.4102564103,0,10.211267606,3.5211267606,11.267605634,37.676056338,*,8.450704225399999,28.873239437,*,*,*,*,0,0,0
Splügen,3694,384,-5.1851851852,6.3481567201,13.28125,11.71875,59.8958333333,28.3854166667,0,0,7.7319587629,7.7319587629,186,2.0376344086,60.53,1.1564513464,10,37.1881711548,-120,19.0318850157,42.6234924831,254,42,27,185,61,17,9,35,1.2259194396,28.0612244898,0,18.75792142,4.9429657795,17.363751584,28.010139417,*,3.6755386565,27.122940431,*,*,*,0.126743,119.8979591837,25.5102040816,0
Sufers,3695,128,-0.7751937984,3.6972848065,2.34375,18.75,54.6875,26.5625,7.8431372549,0,15.6862745098,7.8431372549,53,2.3962264151,34.56,0.8391203704,1,12.0949074074,-44,25.9259259259,61.1400462963,66,29,20,17,18,7,3,8,0,0,0,15.47277937,4.8710601719,6.0171919771,19.770773639,*,6.3037249284,47.277936963,*,*,*,0.286533,165.3543307087,0,0
Andeer,3701,903,4.1522491349,19.5032397408,12.6245847176,19.8228128461,54.1528239203,26.0243632337,0,0,5.540166205,11.08033241,411,2.1484184915,46.36,2.2864538395,12,31.7299396031,-75,44.3054357204,21.6781708369,449,38,82,329,103,13,19,71,0.9132420091000001,22.1729490022,0.44345898,18.206338503,7.0128118678,14.699932569,25.960890088,*,7.0802427512,26.298044504,*,*,*,0.74174,39.911308204,0,0
Casti-Wergenstein,3703,51,-12.0689655172,1.9906323184999999,7.8431372549,17.6470588235,68.6274509804,13.7254901961,19.2307692308,0,19.2307692308,0,21,2.4285714286,25.59,0.6643220008,3,50.0195388824,-41,9.1051191872,40.2110199297,48,15,0,33,11,5,0,6,1.4925373134,0,0,21.666666667,7.5,10.833333333,36.666666667,*,10,13.333333333,*,*,*,*,0,0,0
Donat,3705,206,-1.4354066986,44.1113490364,0.9708737864,23.786407767,57.7669902913,18.4466019417,0,0,4.8661800487,4.8661800487,80,2.575,4.66,3.6480686694999997,2,40.1287553648,-5,51.2875536481,4.9356223176,112,61,0,51,31,19,0,12,0,0,0,25.052192067,7.51565762,16.075156576,12.943632568,*,4.8016701461,33.611691023,*,*,*,*,9.756097561,0,0
Lohn (GR),3707,41,-10.8695652174,5.0183598531,0,14.6341463415,60.9756097561,24.3902439024,0,0,0,0,17,2.4117647059,8.14,1.1056511057,0,57.371007371,-1,34.2751842752,7.2481572482,25,19,0,6,10,6,0,4,0,0,0,20.555555556,10,30.555555556,15,*,7.2222222222,16.666666667,*,*,*,*,75,0,0
Mathon,3708,51,6.25,3.3707865169,9.8039215686,21.568627451,62.7450980392,15.6862745098,0,0,19.801980198,0,22,2.3181818182000002,15.13,0.9914077991,4,68.5393258427,-8,10.3106411104,20.1586252479,30,21,0,9,11,7,0,4,0,40,0,28.275862069,2.0689655172,19.310344828,6.8965517241,*,2.7586206897,40.689655172,*,*,*,*,60,0,0
Rongellen,3711,57,46.1538461538,28.2178217822,12.2807017544,14.0350877193,73.6842105263,12.2807017544,17.5438596491,17.5438596491,17.5438596491,0,22,2.5909090909,2.04,5.8823529412,0,15.1960784314,-1,64.2156862745,14.7058823529,5,4,0,1,3,2,0,1,0,0,1.7543859649,10.833333333,10.833333333,15,42.5,*,7.5,11.666666667,*,*,*,1.666667,0,0,0
Zillis-Reischen,3712,410,-8.4821428571,16.7483660131,13.6585365854,23.6585365854,57.3170731707,19.0243902439,4.7904191617,4.7904191617,4.7904191617,7.1856287425,180,2.2611111111,24.46,2.003270646,14,32.7882256746,-32,44.8487326247,20.3597710548,192,30,93,69,44,10,7,27,1.3636363636,0,1.1764705882,12.012480499,6.5522620905,12.32449298,33.073322933,*,4.992199688,31.04524181,*,*,*,*,0,0,0
Ferrera,3713,88,6.0240963855,1.1660262356,7.9545454545,20.4545454545,53.4090909091,26.1363636364,0,0,0,22.7272727273,44,1.9772727273,75.42,0.38451339170000004,-1,24.7812251392,-110,17.9527976664,56.8814638027,35,2,20,13,8,1,2,5,0.6578947368,0,0,0.6666666667000001,4,10,61.333333333,*,2,22,*,*,*,*,68.1818181818,0,0
Bonaduz,3721,3097,13.1117604091,215.0694444444,13.4646432031,21.9890216338,64.2880206652,13.722957701,6.522093592,0.6522093592,9.7831403881,5.8698842328000005,1291,2.3780015492,14.45,7.8200692042,26,24.2906574394,-36,62.0069204152,5.8823529412,1555,49,963,543,175,10,30,135,2.0394736842,22.3978919631,1.2516469038,11.983850248,22.738117086,16.700311984,28.555698293,*,9.506331437,10.423930997,*,*,*,0.09176,18.115942029,0.9881422925000001,0
Domat/Ems,3722,7745,5.2309782609,319.7770437655,21.885087153,22.1691413815,61.0458360232,16.7850225952,3.2681874632,1.1765474868,10.3274723838,7.3207399176,3222,2.3891992551,24.24,14.6452145215,147,25.3712871287,-146,53.8778877888,6.1056105611,2945,52,1414,1479,354,18,64,272,0.8182844244,13.63516018,1.6944665078,10.290524029,20.526744502,21.124083627,32.971309621,*,5.8466829577,9.2044528917,*,*,*,0.036202,41.4350013238,6.2218692084,0.2647603918
Rhäzüns,3723,1371,5.4615384615,102.5430067315,17.4325309993,24.6535375638,59.7374179431,15.6090444931,5.1207022677,0.7315288954,7.3152889539,4.3891733723,541,2.5064695008999998,13.28,4.9698795181,7,23.0421686747,-12,68.2981927711,3.6897590361,325,14,195,116,71,7,16,48,1.3910355487000001,5.1357300073,1.8341892883000002,9.7149505526,19.197207679,22.047702152,26.643397324,*,10.296684119,12.100058173,*,*,*,*,8.804108584,5.8694057227,0
Felsberg,3731,2422,5.9029296021,180.7462686567,11.5606936416,23.7407101569,62.3864574732,13.8728323699,2.886002886,2.0614306329,10.3071531643,8.658008658,965,2.489119171,13.39,5.1530993279,14,18.2225541449,-18,44.28678118,32.3375653473,459,33,211,215,117,9,31,77,0.274473925,13.174145739,0.6587072869,10.075999019,9.6837460162,17.921059083,28.904143172,*,9.2424613876,23.951949007,*,*,*,0.220642,12.7624536846,2.0584602717,0
Flims,3732,2644,-0.6015037594,52.3564356436,20.726172466,15.2042360061,61.5355521936,23.2602118003,6.4211520302,0.3777148253,7.9320113314,7.1765816808,1318,1.9825493171000002,50.45,4.4598612488,53,32.7651139742,-81,28.8206144698,33.9544103072,1724,44,357,1323,296,17,46,233,1.9037871034,33.9494530366,0.49038098830000004,20.317766009,11.86807896,18.127106403,28.9841117,*,7.7997111218,12.855079442000001,*,*,*,0.048146,43.7570728027,7.9215390419,2.2632968691
Tamins,3733,1226,3.5472972973,30.0932744232,14.8450244698,16.4763458401,65.4159869494,18.1076672104,4.942339374,2.471169687,9.8846787479,12.3558484349,553,2.2007233273,40.71,1.3755833947,5,16.4333087693,-35,50.9211495947,31.2699582412,203,28,57,118,80,10,13,57,1.5988372093,9.1514143095,0.6655574043,15.908001917,8.2894106373,21.466219454,29.372304744,*,9.0560613321,15.860086248,*,*,*,0.047916,35.7737104825,2.4958402662,0
Trin,3734,1276,2.5723472669,27.0510917956,14.7335423197,19.3573667712,62.7742946708,17.868338558,5.5096418733,0.7870916962000001,11.8063754427,5.5096418733,579,2.195164076,47.24,1.9686706181,27,32.4301439458,-30,24.8729889924,40.7281964437,306,55,117,134,93,16,24,53,0.0954198473,6.3241106719,0.07905138340000001,24.17162277,6.5420560748,25.148683093,17.969413764,*,12.319456245,13.806287171,*,*,*,0.042481,35.5731225296,3.95256917,0
Zernez,3746,1566,-0.5082592122,4.5517963028,18.1992337165,19.0932311622,59.7701149425,21.1366538953,9.5057034221,1.9011406844,11.4068441065,6.9708491762,685,2.2569343066,344.04,0.6598069992000001,15,11.6323683293,-380,28.0199976747,59.6878269969,839,92,236,511,178,30,35,113,2.7100271003,11.9496855346,0.5031446541,9.6529284165,6.7968185105,15.798987708,34.454085322,*,6.3268257411,26.825741142,*,*,*,0.144613,42.1383647799,6.9182389937,0.6289308176
Samnaun,3752,776,-3.9603960396,13.7857523539,21.5206185567,15.8505154639,71.0051546392,13.1443298969,5.1118210863,0,10.2236421725,6.3897763578,370,2.0972972973,56.18,1.156995372,28,43.7344250623,-133,12.0861516554,43.0224279103,1266,39,54,1173,164,23,14,127,0.4873294347,0,0.1267427123,13.033953998,14.676889376,4.2716319825,44.797371303,*,4.1621029573,18.838992333,*,*,*,0.219058,98.8593155894,8.8719898606,0
Scuol,3762,4643,-2.5398824517,10.5852312883,21.3439586474,18.7378849882,60.3919879388,20.870127073,5.7908847185,2.7882037534,8.1501340483,9.2225201072,2083,2.1958713394,438.77,0.9777332087,60,28.1103995259,-437,23.8188572601,47.0930100052,3418,241,580,2597,616,93,82,441,1.9862180785999999,18.7953865869,0.6193934216,12.292358804,5.6478405316,24.837842114,25.29663028,*,8.5271317829,23.31909508,*,*,*,0.079101,30.9696710807,4.6988466467,0.8543357540000001
Valsot,3764,908,-2.5751072961,5.7124882037999996,9.4713656388,20.3744493392,58.0396475771,21.5859030837,3.300330033,1.100110011,4.400440044,8.800880088,369,2.4363143631,159.16,0.9550138226,26,29.2849962302,-280,30.9751193767,38.7848705705,472,99,138,235,122,37,25,60,1.1477761836,5.4945054945,0.5494505495,13.683373111,7.0007955449,25.53699284,25.616547335,*,6.4439140811,21.718377088,*,*,*,*,29.6703296703,32.967032967,17.5824175824
