id,inhabitant per km^2
3216,975.07
3808,2.12
6721,309.28
5684,56.07
2222,248.32
5842,23.07
3637,99.68
1040,466.37
2858,71.32
1370,99.56
4282,702.63
4238,179.6
5843,18.81
3834,65.27
5219,144.3
5928,47.96
623,415.59
4075,907.96
2097,124.91
5534,128.28
2039,118.99
421,35.89
987,91.28
4206,807.32
178,291.32
6637,98.38
2040,61.73
1098,149.26
1039,99.58
2791,182.5
904,33.69
905,135.68
2938,136.59
420,890.0
880,51.29
956,207.77
4112,208.37
4317,92.49
97,580.26
881,95.05
2859,171.37
2860,153.41
853,28.13
139,1896.23
3103,84.0
3256,230.62
118,1189.29
393,125.69
422,130.3
340,141.85
2555,165.91
3788,5.27
843,57.26
3883,27.96
6288,3.56
6289,13.21
6290,40.87
6291,43.04
1406,92.96
4283,594.86
3672,6.02
746,334.99
3581,96.83
706,44.13
6757,80.6
6140,172.73
2041,197.09
6414,313.13
5535,186.71
6459,368.24
6758,15.33
5727,93.04
5434,77.86
6155,66.11
443,237.27
5435,85.8
5888,332.28
6246,573.06
2335,103.79
6087,23.78
6217,302.07
5436,103.62
5646,990.73
5610,419.54
5648,1849.45
5568,120.96
4851,199.08
6113,123.15
4441,520.15
3538,6.88
6218,23.7
2277,133.59
3786,26.38
3752,14.04
3835,34.24
5017,352.67
5018,6.82
3810,12.12
3296,629.57
4076,323.07
1407,137.87
5686,57.24
6638,209.47
1371,107.11
5437,100.54
449,60.58
6722,32.24
707,36.62
5611,210.09
6265,100.68
3539,45.39
5221,2914.86
591,5.11
6141,214.94
2939,849.56
4207,450.94
906,24.25
3638,57.84
1213,307.62
786,18.71
708,7.22
1099,405.32
4113,194.89
747,218.1
3962,42.02
4125,182.43
4114,631.75
4546,105.69
226,81.46
3104,61.81
98,125.13
2952,79.88
1100,107.61
247,2698.47
4142,110.19
624,180.69
3582,122.66
3338,859.16
4143,137.49
2305,295.65
3514,22.26
4318,158.94
2461,144.63
1041,78.41
4259,108.13
4176,246.24
748,163.35
592,82.55
1066,42.9
855,151.56
341,133.6
3004,85.8
3105,37.78
937,160.93
197,1863.53
1372,277.93
3315,92.58
99,341.35
4144,651.13
140,171.05
2774,1063.16
3003,97.7
2583,1298.66
4756,76.58
1143,256.14
1346,301.69
311,185.35
1008,106.26
3762,10.67
988,90.18
312,141.64
1214,118.63
119,353.58
709,8.21
1215,51.47
4208,386.07
2480,61.2
3972,27.66
883,569.49
2833,367.05
2556,163.43
6035,54.02
5019,368.14
1102,463.58
2336,45.83
5499,109.67
3274,121.43
2225,306.0
4209,496.59
5762,99.32
5050,21.55
5799,296.5
5222,240.85
227,947.5
3275,154.32
2953,87.0
6248,849.58
4319,112.3
907,123.69
5728,241.67
938,84.43
1216,15.16
3640,95.92
3789,11.9
3790,23.86
6009,3.6
4239,206.67
6266,1104.38
4761,600.4
499,107.96
1217,24.19
2861,721.4
4177,567.95
2099,108.18
3823,7.79
5081,12.21
2601,2638.31
4446,122.17
444,123.35
5129,2.5
445,52.42
6639,253.58
5225,2145.98
2153,117.96
711,37.28
6759,10.67
6724,63.03
3023,507.31
768,750.3
1218,12.99
3694,6.48
4040,1271.15
2302,113.23
3893,6.82
3203,1896.29
3236,834.84
3787,179.34
6292,25.76
2303,134.51
793,22.0
2304,81.49
5266,722.85
100,157.41
4284,117.77
6293,106.01
6294,38.67
13,278.02
1509,735.64
1510,481.51
2584,902.17
4210,741.6
4864,413.45
939,1158.66
6204,109.64
4260,1080.78
3005,146.28
2964,578.82
3217,772.95
1373,278.57
1374,132.23
1708,1836.9
101,354.17
4041,440.99
2919,273.73
4606,182.09
358,825.63
770,69.08
4285,775.75
749,1095.56
158,1617.89
2499,168.13
2532,487.44
5929,72.31
3695,3.67
4012,919.13
4506,398.13
5501,226.65
957,84.69
3985,12.26
3540,3.36
2044,68.13
1103,1562.8
5930,47.1
750,383.38
5688,53.78
2152,77.64
2043,103.24
5500,88.33
2306,375.99
3733,29.53
5729,850.28
5862,208.33
713,240.61
2862,358.4
4320,158.36
5131,745.26
2863,189.53
2307,332.52
6010,46.06
5396,229.06
3024,394.06
4145,449.58
940,35.67
3237,668.3
4117,77.64
39,142.24
141,3185.48
2920,257.84
2775,1287.99
941,326.26
942,1987.96
4611,86.0
342,316.74
3668,430.7
6640,3591.12
989,230.4
2864,592.51
3541,6.0
2894,112.7
4776,208.46
884,523.87
5649,1122.01
2115,85.48
5227,586.23
958,61.3
446,177.79
2973,145.12
500,89.03
5827,68.07
5931,224.39
5828,40.97
2226,126.71
1104,201.63
6142,4.07
2500,843.53
3945,70.86
3734,26.78
3025,169.5
6641,667.15
6156,117.65
908,21.69
909,91.16
3987,23.86
41,101.58
5730,242.56
40,104.18
3669,5.59
3932,11.15
