commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Amden,1776,0.15,0.23,0.37,0.25,0.49,0.9
Amlikon-Bissegg,1303,0.18,0.28,0.4,0.15,0.52,0.9
Ammerswil,701,0.21,0.25,0.41,0.14,0.53,0.86
Amriswil,12810,0.18,0.32,0.33,0.16,0.49,0.7
Amsoldingen,790,0.18,0.24,0.37,0.2,0.49,0.97
Andeer,903,0.18,0.23,0.33,0.26,0.47,0.87
Andelfingen,2153,0.21,0.28,0.32,0.19,0.49,0.87
Andermatt,1408,0.14,0.26,0.39,0.21,0.54,0.78
Andiast,196,0.12,0.27,0.38,0.23,0.51,0.9
Andwil (SG),1911,0.24,0.24,0.38,0.14,0.49,0.93
Anières,2396,0.23,0.25,0.36,0.15,0.49,0.67
Anniviers,2705,0.17,0.25,0.37,0.21,0.51,0.8
Anwil,578,0.22,0.22,0.42,0.14,0.49,0.93
Appenzell,5750,0.17,0.3,0.34,0.19,0.51,0.82
Apples,1338,0.22,0.24,0.35,0.19,0.48,0.84
Aranno,340,0.22,0.19,0.42,0.18,0.48,0.85
Arbaz,1176,0.16,0.25,0.35,0.24,0.5,0.84
Arbedo-Castione,4700,0.17,0.28,0.37,0.18,0.5,0.71
Arboldswil,554,0.2,0.21,0.39,0.2,0.5,0.95
Arbon,14126,0.17,0.28,0.35,0.19,0.5,0.69
Arch,1531,0.19,0.24,0.39,0.18,0.49,0.93
Arconciel,802,0.22,0.28,0.38,0.12,0.51,0.89
Ardon,3037,0.22,0.29,0.35,0.14,0.51,0.65
Arisdorf,1615,0.2,0.21,0.4,0.2,0.49,0.91
Aristau,1402,0.18,0.29,0.42,0.12,0.52,0.84
Arlesheim,9134,0.17,0.21,0.37,0.25,0.46,0.8
Arnex-sur-Nyon,196,0.24,0.26,0.38,0.11,0.52,0.82
Arnex-sur-Orbe,616,0.19,0.3,0.34,0.17,0.51,0.87
Arni (AG),1871,0.2,0.25,0.43,0.12,0.51,0.87
Arni (BE),925,0.19,0.27,0.37,0.18,0.52,0.97
Arogno,1009,0.17,0.21,0.41,0.21,0.5,0.86
Arosa,3247,0.13,0.27,0.38,0.22,0.52,0.78
Arth,11301,0.19,0.3,0.36,0.16,0.51,0.74
Arzier-Le Muids,2492,0.22,0.22,0.43,0.13,0.5,0.71
Ascona,5424,0.13,0.2,0.37,0.3,0.47,0.72
Assens,1024,0.22,0.26,0.36,0.16,0.49,0.89
Astano,306,0.15,0.18,0.43,0.24,0.48,0.83
Attalens,3189,0.24,0.26,0.38,0.12,0.5,0.84
Attelwil,276,0.19,0.26,0.4,0.14,0.49,0.98
Attinghausen,1606,0.23,0.26,0.35,0.15,0.5,0.94
Attiswil,1396,0.17,0.22,0.38,0.23,0.5,0.9
Au (SG),7277,0.18,0.3,0.34,0.18,0.5,0.64
Aubonne,3064,0.21,0.27,0.37,0.16,0.5,0.69
Auboranges,283,0.23,0.23,0.4,0.13,0.5,0.88
Auenstein,1556,0.16,0.23,0.43,0.18,0.5,0.91
Augst,836,0.1,0.23,0.42,0.26,0.51,0.84
Ausserberg,631,0.18,0.21,0.38,0.23,0.49,0.94
Auswil,458,0.18,0.28,0.36,0.18,0.52,0.99
Autafond,68,0.22,0.22,0.37,0.19,0.53,1.0
Autigny,774,0.21,0.31,0.36,0.13,0.51,0.87
Auw,1907,0.26,0.27,0.36,0.11,0.52,0.85
Avegno Gordevio,1456,0.18,0.25,0.37,0.2,0.5,0.91
Avenches,4037,0.2,0.31,0.35,0.15,0.51,0.65
Avers,167,0.17,0.17,0.43,0.23,0.46,0.94
Avry,1859,0.22,0.28,0.38,0.12,0.5,0.81
Avully,1775,0.22,0.29,0.35,0.14,0.5,0.79
Avusy,1450,0.22,0.24,0.4,0.15,0.5,0.87
Ayent,3851,0.16,0.24,0.36,0.24,0.5,0.87
Baar,23224,0.18,0.29,0.36,0.16,0.5,0.72
Bachenbülach,4078,0.19,0.27,0.36,0.18,0.5,0.76
Bachs,598,0.18,0.23,0.42,0.18,0.51,0.91
Bad Ragaz,5704,0.16,0.28,0.35,0.2,0.5,0.72
Bad Zurzach,4138,0.15,0.24,0.38,0.23,0.5,0.63
Baden,18663,0.16,0.35,0.33,0.16,0.51,0.73
Bagnes,8078,0.17,0.28,0.35,0.2,0.51,0.68
Baldingen,266,0.15,0.25,0.5,0.1,0.5,0.92
Balerna,3395,0.16,0.24,0.35,0.25,0.49,0.75
Balgach,4532,0.18,0.3,0.35,0.17,0.5,0.76
Ballaigues,1041,0.21,0.25,0.33,0.21,0.49,0.85
Ballens,507,0.2,0.26,0.36,0.18,0.51,0.82
Ballwil,2649,0.23,0.28,0.36,0.13,0.5,0.93
Balm bei Günsberg,196,0.16,0.18,0.51,0.15,0.56,0.94
Balsthal,5920,0.19,0.27,0.35,0.18,0.51,0.69
Baltschieder,1292,0.22,0.28,0.39,0.11,0.5,0.93
Bangerten,151,0.19,0.22,0.44,0.16,0.47,0.93
Bannwil,701,0.18,0.22,0.41,0.19,0.51,0.9
Barberêche,513,0.19,0.23,0.38,0.2,0.53,0.86
Bardonnex,2241,0.2,0.26,0.37,0.18,0.49,0.76
Bargen (BE),982,0.17,0.26,0.41,0.16,0.49,0.9
Bargen (SH),283,0.16,0.22,0.46,0.16,0.57,0.74
Bas-Intyamon,1242,0.22,0.28,0.34,0.16,0.5,0.83
Bas-Vully,2097,0.2,0.24,0.39,0.17,0.51,0.79
Basadingen-Schlattingen,1793,0.2,0.23,0.41,0.16,0.5,0.86
Basel,168551,0.15,0.32,0.34,0.2,0.48,0.64
Basse-Allaine,1259,0.2,0.24,0.33,0.23,0.49,0.93
Bassersdorf,11404,0.2,0.3,0.36,0.14,0.5,0.76
Bassins,1324,0.25,0.22,0.41,0.12,0.51,0.75
Bauen,164,0.12,0.29,0.41,0.18,0.5,0.9
Baulmes,1021,0.18,0.27,0.37,0.17,0.51,0.84
Bauma,4722,0.18,0.27,0.39,0.16,0.5,0.85
Bavois,921,0.21,0.35,0.35,0.1,0.51,0.81
Beatenberg,1183,0.15,0.2,0.37,0.28,0.5,0.83
Beckenried,3452,0.18,0.26,0.38,0.17,0.51,0.88
Bedano,1533,0.2,0.26,0.37,0.17,0.49,0.82
Bedigliora,637,0.18,0.23,0.4,0.19,0.51,0.87
Bedretto,103,0.05,0.2,0.49,0.26,0.56,0.83
Beggingen,486,0.19,0.22,0.39,0.2,0.5,0.93
Begnins,1720,0.21,0.22,0.39,0.18,0.48,0.74
Beinwil (Freiamt),1098,0.23,0.29,0.34,0.13,0.49,0.9
Beinwil (SO),277,0.22,0.22,0.35,0.21,0.51,0.95
Beinwil am See,3019,0.17,0.25,0.39,0.19,0.5,0.89
Belfaux,3114,0.23,0.33,0.32,0.12,0.5,0.72
Bellach,5163,0.16,0.27,0.36,0.21,0.5,0.73
Bellevue,3236,0.25,0.3,0.33,0.12,0.49,0.61
Bellikon,1541,0.17,0.2,0.46,0.17,0.49,0.91
Bellinzona,18123,0.17,0.28,0.35,0.21,0.47,0.7
Bellmund,1598,0.21,0.23,0.39,0.17,0.5,0.94
Bellwald,427,0.12,0.25,0.4,0.24,0.54,0.83
Belmont-sur-Lausanne,3575,0.22,0.25,0.39,0.14,0.51,0.74
Belmont-sur-Yverdon,358,0.23,0.3,0.35,0.11,0.53,0.85
Belp,11465,0.18,0.27,0.36,0.19,0.49,0.87
Belprahon,311,0.16,0.2,0.36,0.28,0.52,0.96
Benken (SG),2879,0.23,0.28,0.37,0.13,0.5,0.89
Benken (ZH),832,0.19,0.24,0.44,0.14,0.51,0.89
Bennwil,637,0.22,0.23,0.36,0.18,0.53,0.95
Bercher,1144,0.22,0.23,0.4,0.15,0.5,0.83
Berg (SG),832,0.2,0.22,0.4,0.18,0.49,0.92
Berg (TG),3282,0.21,0.26,0.38,0.15,0.5,0.86
Berg am Irchel,579,0.13,0.24,0.41,0.21,0.51,0.91
Bergdietikon,2651,0.17,0.25,0.38,0.2,0.49,0.83
Bergün/Bravuogn,457,0.17,0.29,0.33,0.21,0.52,0.86
Berikon,4553,0.19,0.26,0.38,0.16,0.5,0.83
Beringen,4296,0.18,0.26,0.36,0.2,0.5,0.8
Berken,44,0.05,0.2,0.45,0.3,0.45,1.0
Berlingen,849,0.12,0.18,0.42,0.28,0.5,0.76
Bern,129967,0.14,0.36,0.32,0.18,0.48,0.75
Berneck,3893,0.19,0.27,0.37,0.17,0.5,0.81
Bernex,9813,0.2,0.27,0.35,0.19,0.49,0.78
Berolle,299,0.25,0.24,0.4,0.1,0.51,0.87
Beromünster,6232,0.22,0.29,0.33,0.15,0.5,0.88
Besenbüren,601,0.24,0.25,0.4,0.11,0.5,0.93
Bettenhausen,679,0.15,0.22,0.42,0.2,0.48,0.97
Bettens,529,0.25,0.36,0.33,0.06,0.5,0.84
Bettingen,1186,0.17,0.21,0.38,0.25,0.49,0.73
Bettlach,4855,0.16,0.26,0.38,0.2,0.5,0.83
Bettmeralp,450,0.13,0.28,0.4,0.19,0.5,0.88
Bettwiesen,1131,0.19,0.3,0.39,0.12,0.54,0.78
Bettwil,534,0.15,0.28,0.43,0.15,0.51,0.91
Beurnevésin,124,0.13,0.12,0.38,0.37,0.48,0.96
Bevaix,3863,0.2,0.23,0.38,0.19,0.5,0.83
Bever,620,0.13,0.28,0.42,0.17,0.5,0.85
Bex,7110,0.2,0.28,0.34,0.19,0.49,0.69
Biasca,6183,0.18,0.25,0.35,0.22,0.51,0.65
Biberist,8260,0.17,0.27,0.36,0.2,0.49,0.78
Biberstein,1486,0.15,0.2,0.43,0.22,0.49,0.9
Bichelsee-Balterswil,2785,0.21,0.27,0.37,0.15,0.52,0.88
Biel-Benken,3319,0.21,0.17,0.41,0.21,0.49,0.87
Biel/Bienne,53655,0.17,0.31,0.33,0.19,0.49,0.69
Biezwil,330,0.2,0.25,0.38,0.18,0.5,0.94
Biglen,1748,0.19,0.26,0.37,0.18,0.5,0.93
Billens-Hennens,683,0.21,0.28,0.36,0.15,0.51,0.87
Binn,145,0.17,0.16,0.34,0.33,0.52,0.92
Binningen,15088,0.16,0.25,0.35,0.24,0.48,0.76
Bioggio,2569,0.16,0.26,0.39,0.19,0.49,0.79
Bioley-Magnoux,196,0.15,0.27,0.36,0.22,0.52,0.95
Bioley-Orjulaz,457,0.2,0.3,0.41,0.09,0.51,0.81
Birmensdorf (ZH),6194,0.18,0.27,0.35,0.2,0.49,0.77
Birmenstorf (AG),2904,0.2,0.29,0.36,0.15,0.5,0.8
Birr,4369,0.21,0.31,0.35,0.13,0.52,0.54
Birrhard,673,0.15,0.25,0.44,0.15,0.51,0.87
Birrwil,1063,0.12,0.23,0.43,0.23,0.5,0.89
Birsfelden,10310,0.14,0.28,0.33,0.25,0.49,0.73
Birwinken,1349,0.21,0.25,0.39,0.15,0.5,0.9
Bischofszell,5813,0.19,0.29,0.35,0.17,0.5,0.74
Bissone,893,0.13,0.22,0.44,0.21,0.49,0.61
Bister,33,0.06,0.27,0.45,0.21,0.48,0.97
Bitsch,866,0.17,0.3,0.39,0.14,0.49,0.92
Bivio,189,0.11,0.22,0.35,0.32,0.46,0.75
Bière,1538,0.19,0.29,0.34,0.18,0.5,0.77
Blatten,284,0.16,0.21,0.38,0.25,0.5,0.97
Blauen,709,0.16,0.24,0.41,0.2,0.5,0.93
Bleienbach,673,0.15,0.22,0.42,0.21,0.51,0.95
Blenio,1726,0.15,0.22,0.37,0.27,0.5,0.94
Blitzingen,80,0.05,0.18,0.49,0.29,0.5,0.8
Blonay,6105,0.22,0.21,0.38,0.19,0.49,0.76
Blumenstein,1166,0.16,0.23,0.39,0.23,0.51,0.97
Bodio,1029,0.17,0.26,0.36,0.21,0.52,0.49
Bofflens,189,0.22,0.25,0.4,0.14,0.51,0.96
Bogis-Bossey,881,0.25,0.18,0.44,0.13,0.5,0.65
Bolken,575,0.24,0.24,0.4,0.12,0.51,0.94
Bolligen,6052,0.17,0.19,0.36,0.28,0.48,0.92
Boltigen,1301,0.15,0.26,0.35,0.24,0.5,0.96
Bonaduz,3097,0.2,0.28,0.38,0.14,0.49,0.87
Boncourt,1232,0.16,0.2,0.35,0.29,0.48,0.9
Bonfol,687,0.15,0.19,0.36,0.3,0.47,0.92
Boningen,732,0.19,0.31,0.4,0.1,0.5,0.91
Boniswil,1439,0.18,0.24,0.41,0.17,0.5,0.87
Bonstetten,5287,0.22,0.26,0.38,0.14,0.49,0.86
Bonvillars,510,0.21,0.26,0.36,0.17,0.5,0.91
Boppelsen,1284,0.22,0.2,0.4,0.18,0.5,0.88
Borex,939,0.23,0.22,0.39,0.15,0.5,0.67
Bosco/Gurin,52,0.08,0.25,0.44,0.23,0.62,0.9
Bossonnens,1462,0.24,0.3,0.35,0.11,0.49,0.81
Boswil,2681,0.19,0.3,0.36,0.15,0.51,0.82
Bottens,1278,0.22,0.32,0.35,0.12,0.5,0.85
Bottenwil,798,0.18,0.24,0.4,0.19,0.47,0.92
Botterens,529,0.23,0.26,0.36,0.15,0.49,0.86
Bottighofen,2115,0.16,0.21,0.4,0.23,0.5,0.7
Bottmingen,6327,0.17,0.24,0.35,0.25,0.48,0.76
Boudry,5495,0.2,0.3,0.34,0.16,0.49,0.73
Bougy-Villars,446,0.19,0.2,0.42,0.2,0.48,0.72
Boulens,313,0.22,0.27,0.34,0.18,0.5,0.9
Bourg-Saint-Pierre,185,0.1,0.16,0.48,0.25,0.57,0.81
Bourg-en-Lavaux,5189,0.18,0.25,0.37,0.2,0.49,0.79
Bournens,360,0.26,0.24,0.34,0.16,0.51,0.81
Bourrignon,263,0.15,0.3,0.4,0.16,0.49,0.97
Boussens,944,0.23,0.28,0.38,0.11,0.48,0.85
Bovernier,875,0.18,0.33,0.31,0.17,0.49,0.88
Bowil,1358,0.18,0.28,0.38,0.16,0.5,0.98
Boécourt,891,0.22,0.24,0.35,0.19,0.5,0.9
Braunau,760,0.24,0.27,0.35,0.14,0.49,0.91
Bregaglia,1543,0.14,0.24,0.37,0.24,0.48,0.87
Breggia,2000,0.16,0.21,0.41,0.23,0.49,0.89
Breil/Brigels,1278,0.18,0.26,0.33,0.23,0.51,0.93
Breitenbach,3666,0.19,0.26,0.37,0.18,0.49,0.75
Bremblens,493,0.25,0.23,0.38,0.14,0.5,0.85
Bremgarten (AG),7754,0.18,0.3,0.36,0.15,0.49,0.79
Bremgarten bei Bern,4353,0.19,0.23,0.36,0.23,0.48,0.9
Brenles,144,0.17,0.24,0.44,0.16,0.49,0.97
Brenzikofen,523,0.16,0.28,0.41,0.15,0.51,0.97
Bretigny-sur-Morrens,782,0.23,0.32,0.34,0.12,0.49,0.86
Bretonnières,236,0.19,0.24,0.36,0.21,0.47,0.95
Bretzwil,760,0.21,0.24,0.38,0.18,0.52,0.92
Brienz (BE),3071,0.17,0.25,0.36,0.22,0.49,0.89
Brienzwiler,478,0.13,0.23,0.4,0.25,0.5,0.93
Brig-Glis,12934,0.15,0.3,0.36,0.19,0.48,0.84
Brione (Verzasca),190,0.12,0.2,0.4,0.28,0.46,0.94
Brione sopra Minusio,521,0.1,0.16,0.4,0.34,0.49,0.81
Brislach,1611,0.2,0.22,0.42,0.16,0.51,0.9
Brissago,1800,0.1,0.16,0.4,0.34,0.5,0.8
Brittnau,3807,0.19,0.25,0.39,0.17,0.5,0.9
Broc,2514,0.21,0.29,0.35,0.16,0.5,0.69
Brot-Dessous,98,0.16,0.19,0.52,0.12,0.54,0.9
Brot-Plamboz,257,0.25,0.25,0.36,0.14,0.51,0.97
Brugg,11101,0.17,0.3,0.33,0.2,0.49,0.73
Brunegg,707,0.19,0.3,0.39,0.12,0.52,0.81
Brusino Arsizio,489,0.13,0.19,0.43,0.24,0.51,0.81
Brusio,1130,0.15,0.22,0.35,0.28,0.5,0.9
Brügg,4230,0.18,0.26,0.35,0.2,0.48,0.8
Brünisried,648,0.16,0.29,0.39,0.15,0.5,0.97
Brüttelen,568,0.15,0.23,0.43,0.19,0.55,0.82
Brütten,2030,0.18,0.24,0.39,0.19,0.51,0.93
Bubendorf,4394,0.17,0.25,0.39,0.18,0.5,0.86
Bubikon,6974,0.21,0.24,0.38,0.17,0.49,0.89
Buch (SH),307,0.13,0.24,0.48,0.16,0.53,0.74
Buch am Irchel,927,0.23,0.26,0.39,0.13,0.49,0.92
Buchberg,827,0.18,0.22,0.4,0.19,0.51,0.89
Buchegg,2495,0.18,0.24,0.4,0.18,0.49,0.96
Buchholterberg,1549,0.2,0.26,0.36,0.18,0.49,0.97
Buchillon,615,0.18,0.23,0.38,0.21,0.5,0.74
Buchrain,6160,0.21,0.28,0.38,0.13,0.5,0.82
Buchs (AG),7614,0.18,0.34,0.33,0.15,0.49,0.67
Buchs (SG),12185,0.17,0.34,0.33,0.16,0.5,0.63
Buchs (ZH),6172,0.19,0.32,0.38,0.11,0.51,0.76
Buckten,698,0.19,0.22,0.39,0.2,0.52,0.84
Bulle,21457,0.19,0.35,0.31,0.14,0.49,0.63
Bullet,596,0.15,0.21,0.37,0.28,0.48,0.94
Buochs,5397,0.17,0.29,0.37,0.16,0.51,0.85
Bure,685,0.18,0.25,0.32,0.25,0.49,0.94
Burg (AG),979,0.17,0.28,0.41,0.13,0.51,0.64
Burg im Leimental,265,0.18,0.19,0.43,0.2,0.47,0.91
Burgdorf,15993,0.16,0.3,0.34,0.2,0.48,0.86
Burgistein,1040,0.17,0.23,0.43,0.18,0.49,0.97
Bursinel,472,0.23,0.28,0.34,0.14,0.48,0.72
Bursins,768,0.22,0.25,0.37,0.16,0.51,0.77
Burtigny,371,0.25,0.26,0.34,0.15,0.48,0.78
Buseno,90,0.1,0.14,0.42,0.33,0.46,0.93
Bussigny,8179,0.19,0.32,0.35,0.14,0.51,0.64
Bussnang,2222,0.2,0.3,0.36,0.14,0.52,0.87
Busswil bei Melchnau,188,0.14,0.2,0.46,0.2,0.54,0.91
Bussy (FR),445,0.19,0.35,0.33,0.13,0.51,0.81
Bussy-Chardonney,388,0.26,0.2,0.37,0.16,0.46,0.87
Bussy-sur-Moudon,197,0.15,0.29,0.36,0.2,0.5,0.87
Buttisholz,3272,0.24,0.28,0.35,0.13,0.51,0.88
Buttwil,1160,0.21,0.22,0.42,0.15,0.51,0.92
Buus,971,0.18,0.23,0.4,0.19,0.51,0.93
Bäretswil,4993,0.2,0.25,0.38,0.17,0.5,0.9
Bäriswil,1037,0.16,0.22,0.44,0.18,0.49,0.94
Bärschwil,821,0.13,0.22,0.43,0.22,0.51,0.92
Bätterkinden,3147,0.18,0.26,0.38,0.18,0.48,0.93
Bättwil,1189,0.2,0.21,0.45,0.14,0.51,0.85
Böbikon,171,0.14,0.19,0.43,0.24,0.54,0.9
Böckten,814,0.19,0.24,0.4,0.17,0.51,0.89
Bönigen,2524,0.17,0.26,0.36,0.21,0.5,0.92
Bösingen,3389,0.18,0.26,0.4,0.15,0.5,0.92
Böttstein,3791,0.17,0.27,0.37,0.18,0.52,0.59
Bözberg,1558,0.16,0.25,0.41,0.19,0.5,0.9
Bözen,726,0.15,0.29,0.41,0.15,0.5,0.83
Büetigen,819,0.19,0.23,0.42,0.16,0.53,0.95
Bühl,409,0.15,0.22,0.44,0.18,0.49,0.97
Bühler,1704,0.22,0.26,0.33,0.19,0.51,0.74
Bülach,18891,0.18,0.33,0.33,0.16,0.49,0.74
Bünzen,1015,0.2,0.27,0.4,0.13,0.5,0.88
Bürchen,758,0.16,0.24,0.4,0.21,0.5,0.95
Büren (SO),955,0.21,0.25,0.38,0.16,0.49,0.88
Büren an der Aare,3446,0.19,0.27,0.36,0.18,0.5,0.83
Bürglen (TG),3598,0.17,0.33,0.36,0.15,0.51,0.73
Bürglen (UR),3979,0.2,0.27,0.35,0.18,0.51,0.94
Büron,2287,0.22,0.27,0.39,0.12,0.51,0.75
Büsserach,2140,0.2,0.26,0.37,0.17,0.5,0.89
Bütschwil-Ganterschwil,4601,0.19,0.29,0.34,0.18,0.5,0.86
Büttenhardt,350,0.19,0.2,0.42,0.19,0.49,0.89
Büttikon,987,0.19,0.25,0.43,0.13,0.5,0.82
Cademario,745,0.19,0.22,0.37,0.22,0.48,0.83
Cadempino,1533,0.19,0.27,0.38,0.16,0.49,0.72
Cadenazzo,2654,0.2,0.31,0.38,0.12,0.52,0.62
Calanca,187,0.07,0.22,0.45,0.25,0.56,0.81
Cama,573,0.17,0.26,0.38,0.18,0.5,0.8
Camorino,2741,0.19,0.26,0.38,0.17,0.5,0.83
Campo (Vallemaggia),51,0.02,0.2,0.55,0.24,0.59,0.88
Canobbio,2112,0.19,0.24,0.37,0.2,0.49,0.78
Capriasca,6492,0.19,0.24,0.38,0.19,0.5,0.89
Carouge (GE),20907,0.19,0.33,0.34,0.14,0.48,0.62
Carrouge (VD),1110,0.25,0.28,0.36,0.11,0.5,0.81
Cartigny,870,0.21,0.25,0.35,0.19,0.51,0.79
Caslano,4294,0.18,0.22,0.37,0.23,0.47,0.72
Castaneda,265,0.15,0.17,0.38,0.31,0.44,0.88
Castel San Pietro,2079,0.17,0.23,0.37,0.23,0.5,0.87
Casti-Wergenstein,51,0.16,0.27,0.43,0.14,0.63,0.92
Cazis,2144,0.18,0.25,0.39,0.18,0.51,0.84
Celerina/Schlarigna,1504,0.16,0.25,0.39,0.19,0.48,0.65
Centovalli,1161,0.13,0.22,0.38,0.28,0.49,0.9
Cerentino,56,0.12,0.16,0.43,0.29,0.57,0.82
Cevio,1185,0.15,0.24,0.38,0.23,0.49,0.84
Chalais,3375,0.18,0.27,0.36,0.19,0.5,0.83
Cham,15522,0.19,0.29,0.38,0.15,0.5,0.76
Chamblon,590,0.16,0.29,0.41,0.14,0.53,0.87
Chamoson,3460,0.19,0.27,0.35,0.19,0.49,0.8
Champagne,1003,0.24,0.31,0.35,0.1,0.5,0.84
Champoz,154,0.22,0.27,0.38,0.13,0.46,1.0
Champtauroz,137,0.26,0.2,0.35,0.19,0.53,0.88
Champvent,600,0.25,0.28,0.34,0.13,0.51,0.86
Champéry,1284,0.13,0.26,0.36,0.26,0.52,0.75
Chancy,1519,0.28,0.27,0.35,0.1,0.51,0.76
Chapelle (Glâne),262,0.23,0.29,0.35,0.13,0.49,0.9
Chardonne,2839,0.16,0.23,0.39,0.21,0.48,0.75
Charrat,1611,0.21,0.32,0.35,0.12,0.52,0.7
Chavannes-de-Bogis,1272,0.24,0.26,0.38,0.12,0.48,0.6
Chavannes-des-Bois,876,0.29,0.23,0.39,0.1,0.49,0.57
Chavannes-le-Chêne,274,0.2,0.3,0.32,0.17,0.49,0.95
Chavannes-le-Veyron,127,0.19,0.33,0.36,0.12,0.46,0.87
Chavannes-près-Renens,7214,0.21,0.38,0.29,0.12,0.5,0.48
Chavannes-sur-Moudon,233,0.23,0.25,0.31,0.21,0.46,0.93
Chavornay,4059,0.24,0.32,0.34,0.1,0.51,0.74
Cheiry,392,0.21,0.28,0.36,0.16,0.49,0.91
Chermignon,3093,0.15,0.24,0.37,0.24,0.51,0.72
Chesalles-sur-Moudon,159,0.14,0.31,0.36,0.18,0.47,0.94
Cheseaux-Noréaz,662,0.23,0.2,0.38,0.19,0.53,0.89
Cheseaux-sur-Lausanne,4095,0.2,0.32,0.36,0.13,0.5,0.77
Chessel,363,0.21,0.28,0.36,0.14,0.52,0.86
Chevilly,250,0.23,0.24,0.41,0.12,0.45,0.91
Chevroux,417,0.19,0.22,0.39,0.2,0.51,0.9
Chexbres,2186,0.17,0.25,0.34,0.24,0.47,0.79
Cheyres,1373,0.21,0.25,0.36,0.18,0.51,0.88
Chiasso,8196,0.14,0.24,0.36,0.26,0.48,0.59
Chigny,332,0.21,0.25,0.43,0.11,0.48,0.75
Chippis,1651,0.2,0.3,0.34,0.17,0.51,0.57
Choulex,1103,0.22,0.24,0.36,0.18,0.47,0.76
Chur,34542,0.15,0.3,0.35,0.2,0.48,0.81
Churwalden,2067,0.15,0.29,0.38,0.17,0.52,0.8
Châbles,733,0.24,0.25,0.4,0.11,0.5,0.87
Château-d'Oex,3425,0.18,0.24,0.34,0.24,0.48,0.75
Châtel-Saint-Denis,6362,0.21,0.29,0.36,0.14,0.51,0.73
Châtel-sur-Montsalvens,262,0.19,0.28,0.36,0.16,0.54,0.73
Châtillon (FR),442,0.22,0.25,0.38,0.15,0.5,0.94
Châtillon (JU),468,0.25,0.26,0.35,0.15,0.5,0.93
