"Arealstatistik: Bodenbedeckung (NOLC04) nach Bezirk und Gemeinde, in Hektaren"

"Bezirk (>>) / Gemeinde (......)";"Fläche - Total 2004/09"
"......Montalchez";641
"......Peseux";345
"......Rochefort";2088
"......Saint-Aubin-Sauges";769
"......Vaumarcus";178
"......Milvignes";881
">> Chaux-de-Fonds";9299
"......La Chaux-de-Fonds";5567
"......Les Planchettes";1172
"......La Sagne";2560
">> Locle";14384
"......Les Brenets";1156
"......La Brévine";4196
"......Brot-Plamboz";1606
"......Le Cerneux-Péquignot";1565
"......La Chaux-du-Milieu";1730
"......Le Locle";2306
"......Les Ponts-de-Martel";1825
">> Neuchâtel";8017
"......Cornaux";472
"......Cressier (NE)";860
"......Enges";954
"......Hauterive (NE)";216
"......Le Landeron";1026
"......Lignières";1252
"......Neuchâtel";1805
"......Saint-Blaise";888
"......La Tène";544
">> Val-de-Ruz";12806
"......Valangin";370
"......Val-de-Ruz";12436
">> Val-de-Travers";16632
"......La Côte-aux-Fées";1286
"......Les Verrières";2878
"......Val-de-Travers";12468
">> Canton de Genève";24583
"......Aire-la-Ville";288
"......Anières";383
"......Avully";464
"......Avusy";519
"......Bardonnex";503
"......Bellevue";439
"......Bernex";1297
"......Carouge (GE)";265
"......Cartigny";441
"......Céligny";470
"......Chancy";537
"......Chêne-Bougeries";414
"......Chêne-Bourg";127
"......Choulex";390
"......Collex-Bossy";686
"......Collonge-Bellerive";613
"......Cologny";369
"......Confignon";275
"......Corsier (GE)";278
"......Dardagny";859
"......Genève";1588
"......Genthod";281
"......Le Grand-Saconnex";437
"......Gy";321
"......Hermance";146
"......Jussy";1135
"......Laconnex";383
"......Lancy";484
"......Meinier";697
"......Meyrin";993
"......Onex";283
"......Perly-Certoux";255
"......Plan-les-Ouates";581
"......Pregny-Chambésy";325
"......Presinge";472
"......Puplinge";264
"......Russin";495
"......Satigny";1891
"......Soral";293
"......Thônex";383
"......Troinex";344
"......Vandoeuvres";441
"......Vernier";766
"......Versoix";1055
"......Veyrier";653
">> Delémont";30331
"......Boécourt";1231
"......Bourrignon";1355
"......Châtillon (JU)";525
"......Corban";789
"......Courchapoix";644
"......Courrendlin";1103
"......Courroux";1974
"......Courtételle";1358
"......Delémont";2199
"......Develier";1246
"......Ederswiler";334
"......Mervelier";975
"......Mettembert";236
"......Movelier";804
"......Pleigne";1784
"......Rebeuvelier";843
"......Rossemaison";194
"......Saulcy";791
"......Soyhières";752
"......Vellerat";204
"......Haute-Sorne";7105
"......Val Terbi";3885
">> Franches-Montagnes";20028
"......Le Bémont (JU)";1162
"......Les Bois";2474
"......Les Breuleux";1082
"......La Chaux-des-Breuleux";407
"......Les Enfers";709
"......Les Genevez (JU)";1360
"......Lajoux (JU)";1237
"......Montfaucon";1828
"......Muriaux";1689
"......Le Noirmont";2043
"......Saignelégier";3175
"......Saint-Brais";1513
"......Soubey";1349
">> Porrentruy";33522
"......Alle";1063
"......Beurnevésin";510
"......Boncourt";902
"......Bonfol";1357
"......Bure";1370
"......Coeuve";1158
"......Cornol";1047
"......Courchavon";625
"......Courgenay";1842
"......Courtedoux";815
"......Damphreux";566
"......Fahy";778
"......Fontenais";2001
"......Grandfontaine";894
"......Lugnez";511
"......Porrentruy";1478
"......Rocourt";449
"......Vendlincourt";918
"......Basse-Allaine";2299
"......Clos du Doubs";6182
"......Haute-Ajoie";3646
"......La Baroche";3111
