"Arealstatistik: Bodenbedeckung (NOLC04) nach Bezirk und Gemeinde, in Hektaren"

"Bezirk (>>) / Gemeinde (......)";"Fläche - Total 2004/09"
"......Küssnacht (SZ)";2945
">> March";17688
"......Altendorf";2045
"......Galgenen";1326
"......Innerthal";5018
"......Lachen";240
"......Reichenburg";1159
"......Schübelbach";2904
"......Tuggen";1355
"......Vorderthal";2796
"......Wangen (SZ)";845
">> Schwyz";49440
"......Alpthal";2293
"......Arth";4210
"......Illgau";1094
"......Ingenbohl";1347
"......Lauerz";924
"......Morschach";2080
"......Muotathal";17219
"......Oberiberg";3284
"......Riemenstalden";1117
"......Rothenthurm";2280
"......Sattel";1731
"......Schwyz";5319
"......Steinen";1185
"......Steinerberg";692
"......Unteriberg";4665
">> Obwalden";48063
"......Alpnach";5378
"......Engelberg";7476
"......Giswil";8594
"......Kerns";9262
"......Lungern";4655
"......Sachseln";5384
"......Sarnen";7314
">> Nidwalden";24161
"......Beckenried";2427
"......Buochs";994
"......Dallenwil";1549
"......Emmetten";2499
"......Ennetbürgen";939
"......Ennetmoos";1410
"......Hergiswil (NW)";1422
"......Oberdorf (NW)";1615
"......Stans";1111
"......Stansstad";914
"......Wolfenschiessen";9281
">> Glarus";68078
"......Glarus Nord";14698
"......Glarus Süd";43018
"......Glarus";10362
">> Zug";20705
"......Baar";2478
"......Cham";1776
"......Hünenberg";1841
"......Menzingen";2747
"......Neuheim";794
"......Oberägeri";3007
"......Risch";1484
"......Steinhausen";504
"......Unterägeri";2556
"......Walchwil";1353
"......Zug";2165
">> Broye";17379
"......Bussy (FR)";362
"......Châbles";477
"......Châtillon (FR)";130
"......Cheiry";648
"......Cheyres";513
"......Cugy (FR)";987
"......Domdidier";893
"......Dompierre (FR)";444
"......Estavayer-le-Lac";893
"......Fétigny";407
"......Gletterens";293
"......Léchelles";875
"......Lully (FR)";548
"......Ménières";435
"......Montagny (FR)";1752
"......Morens (FR)";260
"......Murist";820
"......Nuvilly";397
"......Prévondavaux";183
"......Rueyres-les-Prés";316
"......Russy";371
"......Saint-Aubin (FR)";790
"......Sévaz";247
"......Surpierre";477
"......Vallon";352
"......Villeneuve (FR)";357
"......Vuissens";560
"......Les Montets";1031
"......Delley-Portalban";726
"......Vernay";835
">> Glâne";16886
"......Auboranges";192
"......Billens-Hennens";490
"......Chapelle (Glâne)";203
"......Le Châtelard";748
"......Châtonnaye";633
"......Ecublens (FR)";487
"......Grangettes";336
"......Massonnens";424
"......Mézières (FR)";895
"......Montet (Glâne)";219
"......Romont (FR)";1090
"......Rue";1124
"......Siviriez";2029
"......Ursy";1495
"......Villaz-Saint-Pierre";553
"......Vuisternens-devant-Romont";2409
"......Villorsonnens";1550
"......Torny";1019
"......La Folliaz";990
">> Gruyère";48938
"......Haut-Intyamon";6047
"......Pont-en-Ogoz";995
"......Botterens";417
"......Broc";1006
"......Bulle";2386
"......Cerniat (FR)";3373
"......Charmey";7847
"......Châtel-sur-Montsalvens";200
"......Corbières";960
"......Crésuz";180
"......Echarlens";461
"......Grandvillard";2420
"......Gruyères";2839
"......Hauteville";1055
"......Jaun";5524
"......Marsens";780
"......Morlon";249
"......Le Pâquier (FR)";448
"......Pont-la-Ville";432
"......Riaz";778
"......La Roche";2404
"......Sâles";1878
"......Sorens";874
"......Vaulruz";1009
"......Vuadens";1049
"......Bas-Intyamon";3327
">> Sarine";21759
"......Arconciel";611
"......Autafond";243
"......Autigny";622
"......Avry";581
"......Belfaux";643
"......Chénens";397
"......Chésopelloz";166
"......Corminboeuf";562
"......Corpataux-Magnedens";447
"......Corserey";346
"......Cottens (FR)";497
"......Ependes (FR)";563
"......Farvagny";1003
"......Ferpicloz";103
"......Fribourg";932
"......Givisiez";345
"......Granges-Paccot";398
"......Grolley";532
"......Marly";768
"......Matran";289
"......Neyruz (FR)";554
"......Noréaz";687
"......Pierrafortscha";506
"......Ponthaux";596
"......Le Mouret";1847
"......Prez-vers-Noréaz";571
"......Rossens (FR)";505
"......Le Glèbe";1031
"......Senèdes";50
"......Treyvaux";1142
"......Villars-sur-Glâne";547
"......Villarsel-sur-Marly";143
"......Vuisternens-en-Ogoz";624
"......Hauterive (FR)";1192
"......La Brillaz";1026
"......La Sonnaz";690
">> See";14487
"......Barberêche";913
"......Courgevaux";341
"......Courlevon";327
"......Courtepin";408
"......Cressier (FR)";415
"......Fräschels";314
"......Galmiz";905
"......Gempenach";166
"......Greng";101
"......Gurmels";1721
"......Jeuss";177
"......Kerzers";1222
"......Kleinbösingen";301
"......Lurtigen";230
"......Meyriez";33
"......Misery-Courtion";1143
"......Muntelier";113
"......Murten";1362
"......Ried bei Kerzers";757
"......Salvenach";384
"......Ulmiz";286
"......Villarepos";472
"......Bas-Vully";995
"......Haut-Vully";757
"......Wallenried";388
"......Staatswald Galm";256
">> Sense";26535
"......Alterswil";1608
"......Brünisried";324
"......Düdingen";3082
"......Giffers";522
"......Bösingen";1432
"......Heitenried";905
"......Oberschrot";527
"......Plaffeien";5941
"......Plasselb";1811
"......Rechthalten";730
"......St. Antoni";1685
"......St. Silvester";710
"......St. Ursen";1572
"......Schmitten (FR)";1355
"......Tafers";837
